date,Munich,"Frankfurt Am Main",Cologne
2015-05-27,,5,5
2015-05-27,,5,5
2015-05-28,,6,5
2015-05-28,,5,5
2015-05-29,,8,
2015-05-30,,6,
2015-05-31,,6,
2015-06-01,,6,
2015-06-02,,5,
2015-06-03,,5,
2015-06-04,,6,
2015-06-05,5,6,
2015-06-06,6,7,
2015-06-07,8,7,
2015-06-08,8,7,
2015-06-09,,7,
2015-06-10,,7,
2015-06-11,8,7,
2015-06-12,8,7,
2015-06-13,,6,
2015-06-14,7,5,
2015-06-15,8,5,
2015-06-16,9,5,
2015-06-17,10,6,
2015-06-18,10,5,
2015-06-19,10,5,
2015-06-20,10,6,
2015-06-21,10,6,
2015-06-22,10,6,
2015-06-23,9,5,
2015-06-24,8,5,
2015-06-25,8,5,
2015-06-26,9,5,
2015-06-27,10,5,
2015-06-28,10,5,
2015-06-29,10,5,
2015-06-30,10,6,
2015-07-01,10,6,
2015-07-02,11,6,
2015-07-03,10,6,
2015-07-04,9,6,
2015-07-05,10,6,
