date,Munich,Stuttgart,Berlin,"Frankfurt Am Main",Hamburg,Cologne,"See More",Nürnberg
2015-05-27,28,12,,9,7,10,,
2015-05-27,27,14,6,9,6,10,6,
2015-05-28,26,14,,10,6,10,,
2015-05-28,26,14,,10,6,10,,
2015-05-29,26,14,,12,7,9,,
2015-05-30,27,12,,13,8,9,,
2015-05-31,28,12,,13,8,9,,
2015-06-01,29,12,,13,8,9,,
2015-06-02,27,11,,12,8,9,,
2015-06-03,27,12,,11,9,11,,
2015-06-04,27,11,,15,9,11,,
2015-06-05,27,11,,14,9,11,,
2015-06-06,28,11,,14,10,11,,
2015-06-07,30,10,,14,10,10,,
2015-06-08,28,9,,14,9,9,5,5
2015-06-09,28,10,,14,11,10,5,5
2015-06-10,,,,13,11,8,,
2015-06-11,27,13,5,15,12,11,5,5
2015-06-12,26,,,11,11,11,,
2015-06-13,29,14,5,15,9,12,5,5
2015-06-14,28,,,13,9,11,,
2015-06-15,28,15,5,14,9,12,5,5
2015-06-16,28,13,5,11,11,11,5,5
2015-06-17,,,,10,,9,,
2015-06-18,,12,,11,,9,,
2015-06-19,,12,,11,,10,,
2015-06-20,26,14,6,12,9,11,6,
2015-06-21,25,14,6,13,10,11,6,
2015-06-22,25,14,6,13,10,11,6,
2015-06-23,26,11,10,12,9,10,9,
2015-06-24,,11,9,11,,9,,
2015-06-25,,10,9,11,,10,,
2015-06-26,21,10,8,13,12,10,8,
2015-06-27,,11,9,14,,,,
2015-06-28,22,13,9,13,10,10,9,
2015-06-29,22,13,9,13,9,9,9,
2015-06-30,,13,9,14,,,,
2015-07-01,20,12,9,14,9,8,8,
2015-07-02,,12,9,14,,,,
2015-07-03,22,14,9,12,,,,
2015-07-04,21,15,9,12,,,,
2015-07-05,21,15,9,11,,,,
2015-07-06,22,15,9,11,,,,
2015-07-07,22,15,11,12,,,,
2015-07-08,24,16,11,15,,,,
2015-07-09,21,16,12,,,,,
2015-07-10,21,16,12,,,,,
2015-07-11,23,16,,,,,,
2015-07-12,24,16,,,,,,
2015-07-13,24,17,,,,,,
2015-07-14,24,17,,,,,,
2015-07-15,24,15,,,,,,
2015-07-16,24,15,,,,,,
2015-07-17,23,14,,,,,,
2015-07-18,22,,,,,,,
2015-07-19,22,,,,,,,
2015-07-20,22,12,,,,,,
2015-07-21,22,13,,,,,,
2015-07-22,22,13,,,,,,
