date,Brussels,Antwerp
2015-05-28,5,
2015-05-28,6,
2015-05-29,8,
2015-05-30,8,
2015-05-31,8,
2015-06-01,9,
2015-06-02,9,
2015-06-03,8,
2015-06-04,8,
2015-06-05,8,
2015-06-06,8,
2015-06-07,7,
2015-06-08,8,5
2015-06-09,8,5
2015-06-10,9,5
2015-06-11,8,5
2015-06-12,7,5
2015-06-13,7,5
2015-06-14,7,
2015-06-15,9,
2015-06-16,9,
2015-06-17,9,
2015-06-18,9,
2015-06-19,9,
2015-06-20,9,
2015-06-21,9,
2015-06-22,9,
2015-06-23,10,
2015-06-24,11,
2015-06-25,11,
2015-06-26,12,
2015-06-27,12,
2015-06-28,12,
2015-06-29,12,
2015-06-30,12,
2015-07-01,11,
2015-07-02,8,
2015-07-03,7,
2015-07-04,7,
2015-07-05,7,
2015-07-07,7,
2015-07-08,9,
2015-07-09,9,
2015-07-10,6,
2015-07-11,6,
2015-07-12,6,
2015-07-13,7,
2015-07-14,9,
2015-07-15,9,
2015-07-16,9,
2015-07-17,9,
