date,Brussels,Antwerp,Liège,Bruges
2015-05-28,34,16,,
2015-05-28,33,15,,
2015-05-29,35,16,,
2015-05-30,35,15,,
2015-05-31,35,15,,
2015-06-01,38,15,,
2015-06-02,38,15,,
2015-06-03,38,16,,
2015-06-04,37,17,,
2015-06-05,37,18,,
2015-06-06,37,17,,
2015-06-07,35,17,,
2015-06-08,38,18,,
2015-06-09,37,20,,
2015-06-10,39,19,,
2015-06-11,39,20,,
2015-06-12,38,20,,
2015-06-13,38,20,,
2015-06-14,37,20,,
2015-06-15,37,20,,
2015-06-16,37,18,,
2015-06-17,39,19,,
2015-06-18,37,20,,
2015-06-19,38,20,,
2015-06-20,38,20,,
2015-06-21,37,20,,
2015-06-22,39,20,,
2015-06-23,43,19,,
2015-06-24,43,19,,
2015-06-25,44,17,,
2015-06-26,57,21,,
2015-06-27,74,30,,
2015-06-28,81,29,,7
2015-06-29,81,29,,7
2015-06-30,87,29,,6
2015-07-01,88,32,,6
2015-07-02,87,31,,6
2015-07-03,83,33,,6
2015-07-04,80,33,,6
2015-07-05,79,32,,6
2015-07-07,84,35,,5
2015-07-08,85,29,,5
2015-07-09,83,29,5,
2015-07-10,79,30,5,
2015-07-11,79,32,,
2015-07-12,77,31,,
2015-07-13,79,31,,
2015-07-14,83,32,,
2015-07-15,84,32,,
2015-07-16,85,32,,
2015-07-17,84,32,,
2015-07-18,82,31,,
2015-07-19,81,31,,
