date,Antwerp,Brussels,Gent
2015-05-28,8,11,
2015-05-28,8,12,
2015-05-29,9,11,
2015-05-30,8,11,
2015-05-31,9,10,
2015-06-01,9,10,
2015-06-02,7,10,
2015-06-03,8,10,
2015-06-04,8,11,
2015-06-05,9,12,
2015-06-06,8,11,
2015-06-07,8,11,
2015-06-08,10,12,
2015-06-09,11,12,
2015-06-10,10,12,
2015-06-11,10,10,
2015-06-12,9,10,
2015-06-13,9,10,
2015-06-14,9,10,
2015-06-15,9,11,
2015-06-16,9,11,
2015-06-17,9,11,
2015-06-18,9,11,
2015-06-19,8,11,
2015-06-20,8,11,
2015-06-21,8,11,
2015-06-22,9,12,
2015-06-23,9,14,
2015-06-24,9,14,
2015-06-25,8,14,
2015-06-26,9,16,
2015-06-27,14,18,
2015-06-28,14,20,
2015-06-29,13,20,
2015-06-30,14,21,5
2015-07-01,21,20,5
2015-07-02,8,,
2015-07-03,8,,
