date,"A.O.R. San Carlo di Potenza","Azienda Unita&#39; Sanitaria Locale Umbria 1","Ministero delle Infrastrutture e Trasporti","AZIENDA U.L.S.S. 15 ALTA PADOVANA","Autorità di Bacino del Fiume Arno","Modis Italia","INNOVATION DIGITAL LIMITED",Deloitte,"University of Florence","Westhouse Group","Consiglio Nazionale delle Ricerche","Concordia BV","COMUNE DI LIVORNO",Avanade,"Regione Toscana","See More","Adecco Italia","Experis Italia",Siemens,"Subito.it (Schibsted Media Group)","Randstad Italia","Mattioli Group Pty Ltd","Settore Q","Banca Profilo","Confidential Company - Undisclosed","Comune di Bologna",IRPET,"ItAli Airlines S.p.A."
2015-05-28,61,56,43,42,16,,,11,10,11,10,,10,,7,7,,,,,96,,,17,,7,,11
2015-05-29,60,56,44,39,16,,,11,10,11,10,,10,,7,7,,,,,93,,,16,,7,,11
2015-05-30,,,,,,6,,11,,,,,,,,,,7,,,,,,,,,,
2015-05-31,60,56,44,42,16,,,11,11,11,9,,10,,7,7,,,,,95,,,17,,7,,10
2015-06-01,,,,,,6,,11,,,,,,,,,,7,,,,,,,,,,
2015-06-02,59,55,44,43,16,,,11,11,11,9,,10,,7,7,,7,,,93,,,13,,7,,
2015-06-03,60,55,45,42,16,,,11,11,11,10,,10,10,7,7,,,,,89,,,12,,,7,
2015-06-04,,,,,,7,,,,,,,,,,,6,6,,,,,,,,,,
2015-06-05,59,55,44,40,17,,,10,11,11,10,,10,10,7,7,,,,,77,,,9,,7,,
2015-06-06,,,,,,6,,,,,,,,,,,6,7,,,,,,,,,,
2015-06-07,,,,,,6,,,,,,,,,,,6,7,,,,,,,,,,
2015-06-08,,,,,,6,,14,,,,,,,,,6,9,,,,,,,,,,
2015-06-09,60,54,41,40,17,,,14,11,11,10,,9,10,,9,,10,,,71,,9,,11,,,
2015-06-10,57,53,42,42,17,,,14,11,11,10,,10,10,,8,,8,,,69,,9,9,,,,
2015-06-11,57,53,42,42,17,,,14,11,10,10,10,10,10,,9,,,,,63,9,9,,,,,
2015-06-12,61,54,43,43,17,9,,11,11,10,10,10,9,11,,9,,,,,63,9,,,,,,
2015-06-13,61,54,43,43,17,9,,11,11,10,10,10,9,11,,9,,,,,63,9,,,,,,
2015-06-14,,,,,,9,,10,,,,,,,,5,7,8,6,5,,,,,,,,
2015-06-15,,,,,,10,,10,,,,,,,,5,7,8,6,5,,,,,,,,
2015-06-16,,,,,,10,,11,,,,,,,,5,7,8,6,5,,,,,,,,
2015-06-17,,,,,,11,,11,,,,,,,,,8,8,6,,,,,,,,,
2015-06-18,,,,,,12,,11,,,,,,,,,8,8,6,,,,,,,,,
2015-06-19,61,55,44,41,17,12,12,11,10,10,10,10,10,9,,8,,8,,,,,,,,,,
2015-06-20,,,,,,12,,11,,,,,,,,,7,7,6,,,,,,,,,
2015-06-21,,,,,,12,,11,,,,,,,,,7,7,6,,,,,,,,,
2015-06-22,60,54,45,39,16,12,12,11,11,10,10,10,10,9,7,7,,,,,,,,,,,,
