date,"REDITUS SA","NOESIS Portugal",Tecnocom,"Ministrum Ltd.",SONAE,"Technico Lisboa","Randstad Technologies"
2015-06-02,8,,,,,,5
2015-06-03,8,,,,,,5
2015-06-04,8,,,,,,5
2015-06-05,10,11,,6,,,5
2015-06-06,9,11,,,,,5
2015-06-07,9,12,,,,5,
2015-06-08,9,12,,,,5,
2015-06-09,8,12,,,,,
2015-06-10,7,9,,,,,
2015-06-11,7,6,,5,,,
2015-06-12,12,10,,5,,,
2015-06-13,14,12,,,6,,
2015-06-14,15,10,,5,6,,
2015-06-15,14,9,,5,6,,
2015-06-16,14,9,,,6,,
2015-06-17,15,10,,5,7,,
2015-06-18,15,12,5,5,7,,
2015-06-19,14,13,5,,7,,
2015-06-20,14,11,5,,,,
2015-06-21,14,10,5,5,,,
2015-06-22,14,10,5,5,,,
2015-06-23,14,10,5,,,,
