date,Atos,Cisco
2015-05-28,,8
2015-05-28,,8
2015-05-29,,8
2015-05-30,,8
2015-05-31,,8
2015-06-01,,8
2015-06-02,,8
2015-06-03,,7
2015-06-04,15,7
2015-06-05,15,7
2015-06-06,15,9
2015-06-07,15,9
2015-06-08,15,11
2015-06-09,15,11
2015-06-10,15,10
2015-06-11,16,10
2015-06-12,16,10
2015-06-13,16,10
2015-06-14,16,10
2015-06-15,17,10
2015-06-16,17,10
2015-06-17,16,10
2015-06-18,16,10
2015-06-19,16,10
2015-06-20,16,10
2015-06-21,16,10
2015-06-22,14,10
2015-06-23,15,10
2015-06-24,15,10
2015-06-25,16,10
2015-06-26,17,10
2015-06-27,17,10
2015-06-28,17,10
