date,"ING Bank Śląski","Euro Bank S.A.","TeamQuest Sp z o.o.","mBank S.A., pobočka zahraničnej banky",Cpljobs,"CE Lingua","Provident Polska","NBCR Rekrutacja IT Sp. z o.o.","PKO Bank Polski","Goldman Recruitment","See More",Jobfinder
2015-06-27,,6,17,8,,,6,5,,,5,7
2015-06-28,,9,24,11,10,,6,5,,5,5,7
2015-06-29,,14,23,13,11,,6,5,,5,5,
2015-06-30,6,14,23,13,11,7,5,6,,5,5,
2015-07-01,5,18,18,13,8,7,6,6,5,5,5,
2015-07-02,5,,,,,,,,,,,
2015-07-03,5,,,,,,,,,,,
