date,"Selgros Cash&amp;Carry","Urzad Pracy m.st. Warszawy","Bank Zachodni WBK S.A.","ING Bank Śląski"
2015-06-27,,,,5
2015-06-28,6,,,6
2015-06-29,13,5,5,6
2015-06-30,14,6,5,6
2015-07-01,14,6,5,
