date,Dell,"Optimus Search","Arca24.com SA","Thermo Fisher Scientific","Wesser Limited",TomTom,"Post Office","Zalando Lounge","Delivery Hero",Bosch,"See More","Zalando SE","MTU Maintenance","MTU Aero Engines","Forschungszentrum Jülich","BMC Software"
2015-05-27,,11,9,16,9,,,5,,5,5,,10,9,,
2015-05-27,,11,9,15,9,,5,5,,5,5,,10,9,,
2015-05-28,,11,9,14,9,,,5,,5,5,,10,9,,
2015-05-28,,11,9,14,9,,,5,,5,5,,10,9,,
2015-05-29,8,11,9,13,9,5,,5,,5,5,,10,9,5,
2015-05-30,8,11,6,13,9,5,,5,,6,5,,10,9,5,
2015-05-31,8,10,10,13,9,5,,5,,6,5,,10,9,5,
2015-06-01,8,,,,,,,,,,,,,,,
2015-06-02,8,,,,,,,,,,,,,,,
2015-06-03,8,,,,,,,,,,,,,,,
2015-06-04,8,9,10,12,9,,,6,,7,5,,,,,5
2015-06-05,8,10,6,12,9,,,6,,6,5,,,,,5
2015-06-06,8,10,6,12,9,,,6,,6,5,,,,,5
2015-06-07,8,,,,,,,,,,,,,,,
2015-06-08,6,10,,12,10,,,6,,7,5,,,,,5
2015-06-09,6,10,,12,10,,,6,,7,5,,11,6,6,5
2015-06-10,6,,,,,,,,,,,,,,,
2015-06-11,6,,,,,,,,,,,,,,,
2015-06-12,6,10,16,12,10,,,8,,7,6,,11,6,6,
2015-06-13,6,,,,,,,,,,,,,,,
2015-06-14,8,10,16,12,10,,,9,,7,6,,11,6,6,
2015-06-15,8,10,16,11,10,,,9,,7,5,5,11,6,6,
2015-06-16,8,11,16,11,10,,,9,,7,5,5,11,6,6,
2015-06-17,7,12,15,11,10,5,,9,,7,5,5,10,6,6,
2015-06-18,7,12,16,12,10,6,,9,,6,5,5,,,,
2015-06-19,7,,,,,,,,,,,,,,,
2015-06-20,7,13,16,12,10,6,,8,,6,6,,,,,
2015-06-21,7,15,16,12,10,6,,8,,6,6,,,,,
2015-06-22,8,15,16,12,10,6,,8,,6,6,,,,,
2015-06-23,8,,,,,,,,,,,,,,,
2015-06-24,8,16,16,12,10,5,,6,,5,5,,,,,
2015-06-25,8,16,16,13,10,7,,6,,5,5,,,,,
2015-06-26,8,,,,,,,,,,,,,,,
2015-06-27,8,,,,,,,,,,,,,,,
2015-06-28,8,16,15,12,11,9,,6,5,6,5,,,,,
2015-06-29,8,,,,,,,,,,,,,,,
2015-06-30,7,16,13,12,10,9,7,6,6,6,6,,,,,
2015-07-01,7,,,,,,,,,,,,,,,
2015-07-02,8,,,,,,,,,,,,,,,
2015-07-03,8,,,,,,,,,,,,,,,
2015-07-04,8,,,,,,,,,,,,,,,
2015-07-05,8,,,,,,,,,,,,,,,
2015-07-06,8,,,,,,,,,,,,,,,
2015-07-07,8,,,,,,,,,,,,,,,
2015-07-08,8,,,,,,,,,,,,,,,
2015-07-09,7,,,,,,,,,,,,,,,
2015-07-10,7,,,,,,,,,,,,,,,
2015-07-11,7,,,,,,,,,,,,,,,
2015-07-12,7,,,,,,,,,,,,,,,
2015-07-13,7,,,,,,,,,,,,,,,
2015-07-14,7,,,,,,,,,,,,,,,
2015-07-15,7,,,,,,,,,,,,,,,
2015-07-16,7,,,,,,,,,,,,,,,
2015-07-17,6,,,,,,,,,,,,,,,
2015-07-18,6,,,,,,,,,,,,,,,
2015-07-19,6,,,,,,,,,,,,,,,
2015-07-20,6,,,,,,,,,,,,,,,
