date,PwC,Continental,BASF,"Daimler AG","univativ GmbH &amp; Co. KG"
2015-05-27,14,,,,
2015-05-27,14,,,6,
2015-05-28,14,,,6,
2015-05-28,14,,,6,
2015-05-29,14,,,6,
2015-05-30,14,,,6,
2015-05-31,14,,,6,
2015-06-01,14,,,6,
2015-06-02,14,,,5,
2015-06-03,14,,,5,
2015-06-04,14,6,,5,
2015-06-05,14,6,,5,
2015-06-06,14,6,,5,5
2015-06-07,14,6,,,5
2015-06-08,14,6,,,5
2015-06-09,14,6,,,5
2015-06-11,14,6,,5,5
2015-06-13,14,5,,5,
2015-06-15,14,5,,5,
2015-06-16,14,5,,,
2015-06-20,14,6,,,
2015-06-21,14,6,,,
2015-06-22,14,6,,,
2015-06-23,14,6,5,,
2015-06-26,14,5,,,
