date,Lisbon,Porto,Santarém
2015-06-02,16,,
2015-06-03,25,,
2015-06-04,28,,
2015-06-05,119,,
2015-06-06,113,,
2015-06-07,115,,
2015-06-08,115,,
2015-06-09,107,,
2015-06-10,112,,
2015-06-11,103,,
2015-06-12,107,,
2015-06-13,104,5,
2015-06-14,103,5,
2015-06-15,101,5,
2015-06-16,95,5,
2015-06-17,107,7,
2015-06-18,104,7,
2015-06-19,103,7,
2015-06-20,107,7,
2015-06-21,104,7,
2015-06-22,104,6,
2015-06-23,108,6,
2015-06-24,110,6,
2015-06-25,111,6,
2015-06-26,107,6,
2015-06-27,107,16,
2015-06-28,110,16,
2015-06-29,109,16,
2015-06-30,110,16,5
2015-07-01,110,16,5
2015-07-10,118,,
2015-07-11,117,,
2015-07-12,117,,
2015-07-13,115,,
2015-07-14,111,,
2015-07-15,111,,
