date,Lisbon,Porto
2015-06-02,11,9
2015-06-03,13,10
2015-06-04,16,11
2015-06-05,25,16
2015-06-06,23,16
2015-06-07,23,16
2015-06-08,20,16
2015-06-09,21,16
2015-06-10,20,16
2015-06-11,20,16
2015-06-12,24,16
2015-06-13,26,15
2015-06-14,26,15
2015-06-15,26,16
2015-06-16,25,16
2015-06-17,29,16
2015-06-18,29,16
2015-06-19,29,16
2015-06-20,27,15
2015-06-21,28,15
2015-06-22,28,15
2015-06-23,27,15
2015-06-24,31,15
2015-06-25,32,15
2015-06-26,31,15
2015-06-27,36,17
2015-06-28,36,17
2015-06-29,35,17
2015-06-30,39,17
2015-07-01,40,17
2015-07-02,40,
2015-07-03,39,
2015-07-04,37,
2015-07-05,35,
2015-07-07,35,
2015-07-08,37,
2015-07-09,38,
2015-07-10,37,
2015-07-11,37,
2015-07-12,37,
2015-07-13,34,
2015-07-14,33,
2015-07-15,34,
2015-07-16,34,
2015-07-17,34,
2015-07-18,32,
2015-07-19,33,
