date,"Amazon UK",Amazon,Deloitte
2015-05-28,5,5,
2015-05-28,5,,
2015-05-29,5,5,
2015-05-30,24,7,5
2015-05-31,24,28,5
2015-06-01,24,28,5
2015-06-02,24,28,5
2015-06-03,26,31,5
2015-06-04,25,31,5
2015-06-05,25,31,5
2015-06-06,23,31,5
2015-06-07,23,31,5
2015-06-08,23,31,5
2015-06-09,23,31,5
2015-06-10,23,31,5
2015-06-11,24,30,5
2015-06-12,24,30,5
2015-06-13,24,30,5
2015-06-14,23,29,5
2015-06-15,23,29,5
2015-06-16,24,27,5
2015-06-17,22,27,5
2015-06-18,22,28,5
2015-06-19,24,29,5
2015-06-20,24,28,5
2015-06-21,24,28,5
2015-06-22,24,28,5
2015-06-23,24,28,5
2015-06-24,24,27,5
2015-06-25,23,27,5
2015-06-26,22,27,5
2015-06-27,22,27,5
2015-06-28,22,27,5
2015-06-29,22,27,5
2015-06-30,22,27,5
2015-07-01,21,26,5
2015-07-13,14,,
2015-07-14,14,,
2015-07-15,14,,
2015-07-16,15,,
2015-07-17,16,,
