date,"Amazon UK","SOGETI Luxembourg",Amazon
2015-05-29,,,6
2015-05-30,12,,6
2015-05-31,12,,18
2015-06-01,12,,18
2015-06-02,12,,18
2015-06-03,12,,18
2015-06-04,12,,17
2015-06-05,12,,17
2015-06-06,12,,17
2015-06-07,11,,16
2015-06-08,12,,16
2015-06-09,12,,16
2015-06-10,12,,16
2015-06-11,12,,17
2015-06-12,12,,18
2015-06-13,13,,18
2015-06-14,12,,18
2015-06-15,13,,17
2015-06-16,13,,16
2015-06-17,11,6,16
2015-06-18,12,6,16
2015-06-19,11,6,16
2015-06-20,11,6,16
2015-06-21,12,6,16
2015-06-22,11,6,16
2015-06-23,12,6,17
2015-06-24,12,6,17
2015-06-25,12,6,18
2015-06-26,13,6,20
2015-06-27,13,,19
2015-06-28,12,,20
2015-06-29,13,5,20
2015-06-30,13,5,18
2015-07-01,11,5,18
2015-07-02,,5,
2015-07-03,,5,
2015-07-04,,5,
2015-07-05,10,5,
2015-07-07,11,5,
2015-07-08,10,5,
2015-07-09,11,5,
2015-07-10,11,5,
2015-07-11,9,5,
2015-07-12,9,5,
2015-07-13,11,5,
2015-07-14,12,5,
2015-07-15,12,5,
2015-07-16,11,5,
2015-07-17,11,5,
2015-07-18,11,5,
