date,Copenhagen,"Central Region"
2015-05-28,22,7
2015-05-29,23,8
2015-05-30,22,8
2015-05-31,22,8
2015-06-01,20,10
2015-06-02,23,9
2015-06-03,22,9
2015-06-04,21,8
2015-06-05,21,8
2015-06-06,21,8
2015-06-07,21,8
2015-06-08,21,8
2015-06-09,22,8
2015-06-10,22,8
2015-06-11,22,12
2015-06-12,24,13
2015-06-13,24,13
2015-06-14,24,13
2015-06-15,22,12
2015-06-16,23,10
2015-06-17,21,11
2015-06-18,22,11
2015-06-19,22,11
2015-06-20,21,11
2015-06-21,21,9
2015-06-22,17,10
2015-06-23,20,11
2015-06-24,20,11
2015-06-25,18,11
2015-06-26,18,15
2015-06-27,18,17
2015-06-28,18,18
2015-06-29,18,17
2015-06-30,19,16
2015-07-01,21,16
