date,Paris,Toulouse,Lyon,Bordeaux,Orléans,Nantes,"See More",Grenoble,Rennes,Limoges,Mulhouse,Strasbourg
2015-05-27,82,,10,6,,,,,,,,
2015-05-27,80,,10,6,,,,,,,,
2015-05-28,81,,11,6,,,,,,,,
2015-05-28,80,,11,6,,,,,,,,
2015-05-29,77,,10,6,,,,,,,,
2015-05-30,74,6,11,6,,,5,,5,,,5
2015-05-31,74,5,12,5,,,,,6,,,
2015-06-01,62,,10,5,,,,,,,,
2015-06-02,78,,11,5,,,,5,,,,5
2015-06-03,76,,11,6,,,5,5,5,,,6
2015-06-04,81,6,11,7,,,5,5,5,,,6
2015-06-05,85,7,10,6,,,5,5,,,,5
2015-06-06,67,,9,5,,,,,,,,
2015-06-07,82,7,11,6,,,,5,,,,
2015-06-08,86,6,12,6,,,,5,,,,
2015-06-09,91,7,11,6,,,5,5,5,,,
2015-06-10,90,6,11,6,,5,5,6,,,,
2015-06-11,89,5,11,6,,,,6,,,,
2015-06-12,79,,9,6,,,,,,,,
2015-06-13,78,,9,6,,,,,,,,
2015-06-14,77,,9,6,,,,,,,,
2015-06-15,92,6,11,6,,,,6,,,,
2015-06-16,92,7,9,6,,,,5,,,,
2015-06-17,85,,5,6,,,,,,,5,
2015-06-18,103,5,7,7,,7,5,7,,,5,
2015-06-19,87,,7,6,,,,,,,5,
2015-06-20,102,,9,7,,8,,7,,,,
2015-06-21,83,,8,6,,5,,,,,,
2015-06-22,97,5,9,7,,9,5,7,,,,
2015-06-23,79,,8,6,,5,,,,,,
2015-06-24,75,5,8,7,,6,,,,,,
2015-06-25,67,,8,7,,,,,,,,
2015-06-26,80,6,8,7,,5,5,6,,,,
2015-06-27,68,,10,7,,,,,,,,
2015-06-28,68,,9,7,,,,,,,,
2015-06-29,84,8,9,7,,,5,6,5,,,
2015-06-30,89,7,10,7,,6,5,7,6,5,,
2015-07-01,79,,9,5,5,5,5,5,,,,
2015-07-02,75,5,9,6,5,5,5,,,,,
2015-07-03,79,7,11,6,6,6,6,,,,,
2015-07-04,80,8,11,6,6,6,6,,,,,
2015-07-05,81,11,10,6,6,6,6,,,,,
2015-07-07,81,,10,5,6,,,,,,,
2015-07-08,87,,12,5,6,,,,,,,
2015-07-09,73,,10,5,5,7,,,,,,
2015-07-10,67,10,10,,5,7,,,,,,
2015-07-11,76,13,,5,5,7,,,,,,
2015-07-12,78,13,,6,6,7,,,,,,
2015-07-13,77,12,,6,5,7,,,,,,
2015-07-14,83,12,,6,5,7,,,,,,
2015-07-15,84,12,,7,6,8,,,,,,
2015-07-16,84,12,15,7,6,8,6,,,,,
2015-07-17,85,13,15,7,7,,,,,,,
2015-07-18,85,12,15,7,7,,,,,,,
2015-07-19,84,12,13,7,6,,,,,,,
2015-07-20,82,12,13,7,6,,,,,,,
2015-07-21,85,13,12,6,6,,,,,,,
2015-07-22,84,14,12,6,6,,,,,,,
