date,Paris,Lyon
2015-05-27,44,
2015-05-27,46,
2015-05-28,49,
2015-05-28,48,
2015-05-29,48,
2015-05-30,35,
2015-05-31,35,
2015-06-01,36,5
2015-06-02,36,5
2015-06-03,41,5
2015-06-04,43,5
2015-06-05,43,
2015-06-06,41,5
2015-06-07,42,
2015-06-08,42,
2015-06-09,41,6
2015-06-10,38,7
2015-06-11,36,6
2015-06-12,35,5
2015-06-13,35,6
2015-06-14,35,6
2015-06-15,37,6
2015-06-16,37,6
2015-06-17,37,6
2015-06-18,41,6
2015-06-19,42,5
2015-06-20,43,5
2015-06-21,44,
2015-06-22,47,
2015-06-23,45,
2015-06-24,45,5
2015-06-25,42,5
2015-06-26,44,5
2015-06-27,42,6
2015-06-28,42,6
2015-06-29,41,6
2015-06-30,42,5
2015-07-01,47,
2015-07-02,44,
2015-07-03,48,
2015-07-04,48,
2015-07-05,48,
2015-07-07,48,
2015-07-08,55,
2015-07-09,46,
2015-07-10,47,
2015-07-11,56,
2015-07-12,57,
2015-07-13,56,
2015-07-14,58,
2015-07-15,59,
2015-07-16,57,
2015-07-17,56,
2015-07-18,55,
2015-07-19,55,
2015-07-20,53,
