date,Paris,Lyon,Nantes,Strasbourg,Marseille,Rennes,Toulouse,"See More",Nice,Montpellier,Dijon,Rouen,Grenoble,Bordeaux,Lille
2015-05-27,136,6,,,,,,,,5,,,6,,5
2015-05-27,133,6,,,,,,,,6,,,6,,5
2015-05-28,136,9,,,,,,,,6,,,6,,5
2015-05-28,138,9,,,,,,,,6,,,6,,7
2015-05-29,144,6,,,,,,,,7,,,6,,7
2015-05-30,151,6,,,,,,,,7,,,7,,6
2015-05-31,145,6,,,,,,,,7,,,,,5
2015-06-01,146,6,,,,,,,9,7,,,6,,
2015-06-02,151,6,,,,,,,10,7,,,6,,
2015-06-03,152,6,,,,,,5,10,7,,,6,,5
2015-06-04,159,7,,,,,,7,10,7,,,9,,7
2015-06-05,156,9,,,,,,5,10,6,,,10,,5
2015-06-06,154,9,,,,,,,,6,,,10,,6
2015-06-07,152,8,,,,,,,,6,,,10,,5
2015-06-08,149,7,,,,,,,,7,,,10,,5
2015-06-09,144,7,,,,,,,,7,,,10,,5
2015-06-10,144,7,,,,,,,,7,,,,,
2015-06-11,146,7,,,,,,,,,,,11,,6
2015-06-12,146,10,,,,,,,,,,,,,
2015-06-13,146,10,,,,,,,,5,,,,,5
2015-06-14,146,10,,,,,,,,5,,,,,5
2015-06-15,148,8,5,,,,,5,,5,,,10,,5
2015-06-16,153,9,5,,,,,5,,5,,,10,,5
2015-06-17,151,7,5,,,,,,,5,,,,,5
2015-06-18,153,9,5,,,,5,5,,5,,,,,5
2015-06-19,158,9,9,,,,6,5,,11,,,9,,5
2015-06-20,142,8,5,,,,5,5,,5,,,,,5
2015-06-21,141,8,5,,,,5,5,,5,,,,,5
2015-06-22,156,10,8,,,,7,5,,11,,,9,,5
2015-06-23,150,10,,,5,,7,5,,5,,,,,5
2015-06-24,157,12,,,5,,7,5,,6,,,,,5
2015-06-25,155,13,,,5,,7,5,,5,,,8,,5
2015-06-26,153,14,,,,,7,,,,,,8,,5
2015-06-27,143,12,,,,,7,,,5,,,,,
2015-06-28,141,11,,,,,7,,,,,,9,,
2015-06-29,146,10,,,,,12,,,7,,,,,
2015-06-30,164,12,8,,,,12,5,,12,,,8,5,
2015-07-01,159,13,8,,,,14,,,13,,,,,
2015-07-02,170,14,8,,,,11,,,12,,,,,
2015-07-03,180,14,8,,,,10,,,12,,,,,
2015-07-04,182,14,9,,5,5,10,5,,12,7,,,,
2015-07-05,181,14,12,,6,5,10,5,,12,7,,,,
2015-07-06,181,14,12,5,6,6,10,5,,12,7,,,,
2015-07-07,188,14,9,5,6,6,10,5,,12,7,,,,
2015-07-08,189,13,10,6,6,6,6,5,,12,8,5,,,
2015-07-09,193,13,9,5,7,6,9,5,,12,8,,,,
2015-07-10,194,18,10,5,7,7,9,5,,,8,,,,
2015-07-11,189,17,10,7,7,7,5,5,,12,7,,,,
2015-07-12,197,22,10,7,8,7,5,5,,12,6,,,,
2015-07-13,197,20,10,7,8,6,5,5,,12,6,,,,
2015-07-14,200,19,11,7,8,6,5,5,,12,,,,,
2015-07-15,198,20,11,,7,6,5,5,,,,,,,
2015-07-16,199,21,11,,7,6,5,5,,,,,,,
2015-07-17,200,21,11,8,5,6,5,5,5,,,,,,
2015-07-18,196,20,12,8,6,6,5,5,,,,,,,
2015-07-19,196,21,12,8,6,6,5,5,,,,,,,
