date,Microsoft,"Confidential Company - Undisclosed","Airbus Group","Dassault Systèmes","EADS Defence &amp; Security"
2015-05-27,,13,7,,
2015-05-27,,13,7,,
2015-05-28,,13,7,,
2015-05-28,,13,7,,
2015-05-29,,12,7,,
2015-05-31,,11,7,,
2015-06-02,,8,7,,
2015-06-03,,12,7,,
2015-06-04,,12,7,,
2015-06-05,,8,7,,
2015-06-06,,6,7,,
2015-06-08,,8,7,5,
2015-06-09,,,,5,
2015-06-10,,,,6,
2015-06-11,,6,7,5,
2015-06-12,,8,8,5,
2015-06-13,,7,8,5,
2015-06-14,,9,8,5,
2015-06-15,,9,8,6,6
2015-06-16,10,8,8,6,6
2015-06-17,10,,,6,
2015-06-18,11,,,6,
2015-06-19,11,,,6,
2015-06-20,11,10,9,6,7
2015-06-21,11,,,6,
2015-06-22,11,10,9,7,7
2015-06-23,11,9,9,7,6
2015-06-24,11,9,9,7,6
2015-06-25,11,,,7,
2015-06-26,11,10,9,6,
2015-06-27,11,9,9,6,
2015-06-28,11,8,9,6,
2015-06-29,11,8,9,,
2015-06-30,11,,,,
2015-07-01,11,10,9,,
2015-07-02,11,,,,
