date,IBM,Vestas,"Confidential Company - Undisclosed",ADICIONA,SERMICRO,Agio,ArayoWeb,"Zemsania Tech Services &amp; Solutions","Grupo Innovati",Quental,"Krell Consulting &amp; Training, S.L.","See More",Deloitte,"ALTEN SPAIN Consultoría en Ingeniería y Tecnología de la Información",Aura,"PSS Tecnologías de la información","GRUPO SOLUTIO",NexTReT,Indra,"General Software",Oesia,"Digital Training Company","ETALENTUM SELECCION S.L."
2015-05-28,5,,9,10,9,6,,,22,8,,5,5,7,,,8,,5,5,5,5,5
2015-05-29,5,,10,10,9,10,33,,20,7,6,5,6,7,8,,9,,5,5,,,
2015-05-30,5,,12,9,9,9,,5,21,9,6,5,6,6,,,8,,5,5,,,
2015-05-31,5,,,,,,,,,,,,6,,,,,,,,,,
2015-06-01,5,,12,9,6,5,,5,21,9,6,5,6,7,,,9,,5,5,,,
2015-06-02,5,,12,9,6,5,,5,21,9,6,5,6,7,,,9,,5,5,,,
2015-06-03,5,,10,10,6,10,,6,15,11,6,5,6,8,,,7,,5,,,,
2015-06-04,5,,,,,,,,,,,,6,,,,,,,,,,
2015-06-05,5,,9,10,6,6,,6,15,10,6,5,6,8,,,7,,,,,,
2015-06-06,5,,9,10,8,5,52,6,15,10,6,5,6,8,5,,8,,,,,,
2015-06-07,5,,,,,,,,,,,,6,,,,,,,,,,
2015-06-08,5,,,,,,,,,,,,6,,,,,,,,,,
2015-06-09,5,,10,10,8,6,,6,15,10,6,5,6,7,,,7,,,,,,
2015-06-10,5,,10,12,8,,52,7,11,10,6,5,6,7,5,,7,,,,,,
2015-06-11,5,,8,12,8,8,39,6,12,10,6,5,6,6,7,,7,,,,,,
2015-06-12,5,,7,12,8,8,39,,12,10,5,5,6,6,7,,7,5,,,,,
2015-06-13,5,,7,12,8,10,,,12,10,5,5,6,,,5,,,,,,,
2015-06-14,5,,8,12,8,11,,,12,10,5,5,6,,,,,,,,,,
2015-06-15,,,8,12,8,10,34,,12,10,5,5,6,,6,,,,,,,,
2015-06-16,,,7,12,8,6,,,9,10,5,5,6,5,,,,,,,,,
2015-06-17,,,5,12,8,6,,5,8,8,5,5,6,,,,,,,,,,
2015-06-18,,,,,,,,,,,,,6,,,,,,,,,,
2015-06-19,,,,,,,,,,,,,6,,,,,,,,,,
2015-06-20,,,5,11,8,,37,5,8,7,5,5,6,,,,,,,,,,
2015-06-21,,,5,11,8,11,,5,8,7,5,5,,,,,,,,,,,
2015-06-26,,,5,6,,7,,5,5,,,,,,,,,,,,,,
2015-06-27,,,9,7,5,7,,,,,,,,,,,,,,,,,
2015-06-30,,,9,7,5,8,36,,,,,,,,,,,,,,,,
2015-07-01,,,8,7,5,5,,,,,,,,,,,,,,,,,
2015-07-06,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,6,5,,,,,,,,,,,,,,,,,,,,,
2015-07-15,6,5,,,,,,,,,,,,,,,,,,,,,
