date,"ING Nederland",Booking.com,Optiver,TomTom,"Sogeti Netherlands","Textkernel - Semantic Recruitment Technology","See More",Microsoft,"Juniper Networks",ASML,Trinamics,"Twente Branding","PHP Professionals","Multiplied B.V. | ICT specialist","Guerrilla Games","HUMANCAPiTAL BV","Sogeti Nederland","Working Class Heroes","TMG (Telegraaf Media Groep)",Rijksoverheid,Nspyre,Brunel
2015-05-28,8,10,9,5,,,5,,,,,,,,,,,,,,6,9
2015-05-28,8,10,9,5,,,5,,,,,,,,,,,,,,6,9
2015-05-29,9,11,9,5,,,5,,,,,,,,,,,,,6,6,9
2015-05-30,9,11,9,5,,,5,,,,,,,,,,,,,6,6,9
2015-05-31,9,11,7,5,,,5,,,,,,,,,,,,,6,6,7
2015-06-01,8,11,9,5,,,5,,,,,,,,,,,,,7,6,5
2015-06-02,8,11,9,5,,,5,,,,,,,,,,,,,6,6,5
2015-06-03,10,11,9,5,,,5,,,,,,,,,,,,,6,6,5
2015-06-04,10,11,8,5,,,5,,,,,,,,,,,,,6,6,5
2015-06-05,11,11,8,6,,,6,,,,,,,,,,,,,6,6,
2015-06-06,11,11,8,6,,,6,,,,,,,,,,,,,6,6,
2015-06-07,11,11,5,6,,,,,,,,,,,,,,,,6,,
2015-06-08,10,11,8,6,,,,,,,,,,,,,,,,6,,
2015-06-09,10,11,8,6,,,,,,,,,,,,,,,,6,,
2015-06-10,10,11,8,5,,,,,,,,,,,,,,,,6,,
2015-06-11,11,11,8,,,,,,,,,,,,,,,,,7,,
2015-06-12,11,11,8,,,,,,,,,,,,,,,,,7,,
2015-06-13,11,11,8,,,,,,,,,,,,,,,,,7,,
2015-06-14,11,11,8,,,,,,,,,,,,,,,,,7,,
2015-06-15,11,11,8,5,,,,,,,,,,,,,,,,6,,
2015-06-16,11,11,8,6,,,,,,,,,,,,,,,,5,,
2015-06-17,11,11,8,6,,,,,,,,,,,,,,,,6,,
2015-06-18,11,10,8,7,,,,,,,,,,,,,,,,6,,
2015-06-19,12,10,8,7,,,,,,,,,,,,,,,,7,,
2015-06-20,12,10,8,7,,,,,,,,,,,,,,,,7,,
2015-06-21,12,10,8,7,,,,,,,,,,,,,,,,7,,
2015-06-22,12,10,8,7,,,,,,,,,,,,,,,,7,,
2015-06-23,12,10,8,7,,,,,,,,,,,,,,,,6,,
2015-06-24,14,9,7,8,,,,,,,,,,,,,,,,,,
2015-06-25,12,9,6,8,,,,,,,,,,,,,,,,,,
2015-06-26,12,9,6,7,,,5,,,,,15,9,5,,,,,,,,
2015-06-27,12,9,6,7,,,5,,,,14,17,13,6,,,5,5,,,,
2015-06-28,12,9,6,7,,,5,,,,14,17,13,6,6,,5,5,,,,
2015-06-29,12,8,8,7,,,5,,5,,15,16,13,8,6,5,6,5,,,,
2015-06-30,12,8,8,7,,,5,,,,15,16,13,8,6,5,6,5,5,,,
2015-07-01,31,8,7,7,,,5,,,,16,15,13,8,6,6,6,5,,,,
2015-07-02,13,8,8,7,7,,,,,,,,,,,,,,,,,
2015-07-03,13,8,8,7,6,,5,,,5,,,,,,,,,,,,
2015-07-04,15,8,8,7,6,,5,,,5,,,,,,,,,,,,
2015-07-05,15,8,8,7,6,,5,,,5,,,,,,,,,,,,
2015-07-07,16,8,8,7,7,,5,,5,5,,,,,,,,,,,,
2015-07-08,17,8,5,7,7,,,,,,,,,,,,,,,,,
2015-07-09,16,7,5,6,7,5,5,5,,,,,,,,,,,,,,
2015-07-10,15,11,9,6,7,5,5,5,5,,,,,,,,,,,,,
2015-07-11,30,11,9,6,6,5,5,,5,,,,,,,,,,,,,
2015-07-12,30,11,8,6,6,5,5,,5,,,,,,,,,,,,,
2015-07-13,31,11,8,6,6,5,5,6,6,,,,,,,,,,,,,
2015-07-14,26,12,8,6,6,5,5,7,7,,,,,,,,,,,,,
2015-07-15,24,12,8,5,6,5,5,6,7,,,,,,,,,,,,,
2015-07-16,26,12,8,5,7,5,5,6,7,,,,,,,,,,,,,
2015-07-17,26,12,8,5,7,5,5,7,6,,,,,,,,,,,,,
2015-07-18,27,12,8,5,5,5,5,7,6,,,,,,,,,,,,,
2015-07-19,27,12,8,5,5,5,5,7,6,,,,,,,,,,,,,
2015-07-20,27,12,8,6,5,5,5,7,6,,,,,,,,,,,,,
2015-07-21,27,13,9,7,5,5,5,,,,,,,,,,,,,,,
