date,Stockholm,Gothenburg,"Stockholm County",Lund,Linkoping,Malmo
2015-05-28,16,8,16,5,6,
2015-05-29,15,6,16,5,6,
2015-05-30,15,6,16,5,6,
2015-05-31,15,6,16,5,6,
2015-06-01,15,6,16,,6,
2015-06-02,15,6,17,,6,
2015-06-03,16,7,19,,6,
2015-06-04,15,8,19,,6,
2015-06-05,14,8,19,,6,
2015-06-06,14,8,17,,6,
2015-06-07,14,8,17,,6,
2015-06-08,15,11,15,,6,
2015-06-09,13,11,17,,6,
2015-06-10,12,11,16,,5,
2015-06-11,12,13,16,,5,
2015-06-12,13,13,15,,5,
2015-06-13,13,13,15,,5,
2015-06-14,13,13,15,,5,
2015-06-15,14,13,15,,6,
2015-06-16,16,13,16,,6,
2015-06-17,17,11,16,,6,
2015-06-18,19,10,15,,6,5
2015-06-19,19,10,14,,6,5
2015-06-20,19,9,14,,6,5
2015-06-21,19,8,14,,6,5
2015-06-22,19,9,13,,6,5
2015-06-23,20,10,12,,6,
2015-06-24,19,8,12,,6,
2015-06-25,15,9,12,,,
2015-06-26,18,15,17,,,
2015-06-27,25,18,18,,,
2015-06-28,33,28,18,,,
2015-06-29,35,28,19,5,,
2015-06-30,35,28,18,5,,
2015-07-01,41,27,16,5,,
2015-07-02,44,32,15,5,,
2015-07-03,44,32,15,5,,
2015-07-04,42,33,15,5,,
