date,Rome,Milan,Turin,Perugia,Pescara,Pisa,Bolzano,Siena,Arezzo,Treviso,"See More",Bari,"Reggio Emilia",Bologna,Parma
2015-05-28,53,15,,56,12,13,8,8,7,6,5,7,15,5,
2015-05-29,55,17,,58,13,13,8,8,6,6,5,6,15,5,
2015-05-30,51,17,,,,,,,,,,6,,5,
2015-05-31,56,16,,59,11,13,8,7,7,5,5,6,15,5,
2015-06-01,56,16,,56,11,13,8,7,6,,5,6,15,5,5
2015-06-02,56,16,,,,,,,,,,6,,5,5
2015-06-03,56,16,,59,12,13,8,7,7,5,5,6,15,5,
2015-06-04,60,17,,64,12,13,8,8,7,6,6,6,15,6,
2015-06-05,59,18,,60,11,13,8,8,7,5,5,6,13,6,
2015-06-06,54,18,,60,11,13,8,7,6,6,6,6,13,6,
2015-06-07,60,18,,62,11,13,8,8,7,6,6,6,13,6,
2015-06-08,60,17,,60,11,13,8,8,7,5,5,5,11,6,
2015-06-09,57,18,,56,10,13,8,7,7,5,5,5,11,6,
2015-06-10,59,19,,58,10,13,8,7,6,,5,5,11,6,
2015-06-11,58,19,,,,,,,,,,5,,5,
2015-06-12,61,19,,,,,,,,,,5,,5,
2015-06-13,61,19,,61,11,12,8,7,7,6,5,5,6,5,
2015-06-14,61,17,,,,,,,,,,5,,5,
2015-06-15,61,16,,,,,,,,,,5,,5,
2015-06-16,58,15,,,,,,,,,,6,,5,
2015-06-17,59,13,,57,11,13,8,8,7,5,5,6,6,5,
2015-06-18,64,14,,64,12,12,8,7,8,5,5,5,6,5,
2015-06-19,64,13,,,,,,,,,,5,,,
2015-06-20,64,13,,,,,,,,,,5,,,
2015-06-21,62,13,,,,,,,,,,5,,,
2015-06-22,62,14,,,,,,,,,,5,,,
2015-06-23,62,14,,61,12,12,8,8,7,6,5,5,,,
2015-06-24,63,14,,63,12,12,8,7,7,6,6,,,,
2015-06-25,61,16,,64,11,12,8,7,6,,6,,,,
2015-06-26,61,16,,64,11,12,8,7,6,,6,,,,
2015-06-27,63,16,,63,12,12,8,7,8,6,6,,,,
2015-06-28,62,14,,64,12,12,8,8,6,5,5,,,,
2015-06-29,62,13,,65,,,,,,,,,,,
2015-06-30,62,13,,,,,,,,,,,,,
2015-07-01,64,14,5,65,12,12,8,8,7,6,5,,,,
2015-07-02,63,13,5,,,,,,,,,,,,
2015-07-03,65,13,5,,,,,,,,,,,,
2015-07-04,65,13,5,,,,,,,,,,,,
2015-07-05,62,11,5,,,,,,,,,,,,
2015-07-07,62,12,5,,,,,,,,,,,,
2015-07-08,61,14,5,,,,,,,,,,,,
2015-07-09,63,14,5,,,,,,,,,,,,
2015-07-10,63,15,5,,,,,,,,,,,,
2015-07-11,59,15,,,,,,,,,,,,,
2015-07-12,59,15,,,,,,,,,,,,,
2015-07-13,60,13,5,,,,,,,,,,,,
2015-07-14,60,13,,,,,,,,,,,,,
2015-07-15,61,13,,,,,,,,,,,,,
2015-07-16,62,13,5,,,,,,,,,,,,
2015-07-17,65,13,,,,,,,,,,,,,
2015-07-18,65,12,,,,,,,,,,,,,
2015-07-19,59,12,,,,,,,,,,,,,
