date,Milan,Naples,Rome
2015-05-28,17,6,5
2015-05-29,17,6,
2015-05-30,17,6,
2015-05-31,18,6,
2015-06-01,19,6,
2015-06-02,19,6,
2015-06-03,20,7,
2015-06-04,19,7,
2015-06-05,16,,
2015-06-06,16,,
2015-06-07,17,7,
2015-06-08,19,7,
2015-06-09,19,7,
2015-06-10,20,7,
2015-06-11,17,,
2015-06-12,19,7,
2015-06-13,17,,
2015-06-14,20,7,
2015-06-15,19,7,
2015-06-16,17,,
2015-06-17,17,,
2015-06-18,18,,
2015-06-19,21,7,
2015-06-20,19,,
2015-06-21,21,7,
2015-06-22,21,7,
2015-06-23,19,,
2015-06-24,19,,
2015-06-25,19,,
2015-06-26,21,,
2015-06-27,20,,
2015-06-28,21,7,5
2015-06-29,20,,
2015-06-30,22,,
2015-07-01,21,,
2015-07-02,21,,
2015-07-03,21,,
2015-07-04,21,,
2015-07-05,21,,
2015-07-07,19,,
2015-07-08,19,,
2015-07-09,20,,
2015-07-10,19,,
2015-07-11,19,,
2015-07-12,20,,
2015-07-13,20,,
2015-07-14,22,,
2015-07-15,24,,
2015-07-16,24,,
2015-07-17,24,7,
2015-07-18,23,7,
2015-07-19,23,6,
