name,ISO2,id,Language
Ukraine,UA,804,uk
France,FR,250,fr
Spain,ES,724,es
Sweden,SE,752,sv
Germany,DE,276,de
Finland,FI,246,fi
Norway,NO,578,no
Poland,PL,616,pl
Italy,IT,380,it
United Kingdom,GB,826,gb
Romania,RO,642,ro
Belarus,BY,112,be
Greece,GR,300,el
Bulgaria,BG,100,bg
Iceland,IS,352,is
Portugal,PT,620,pt
Czech Republic,CZ,203,cs
Denmark,DK,208,da
Hungary,HU,348,hu
Serbia,RS,688,sr
Austria,AT,40,de
Ireland,IE,372,gb
Lithuania,LT,440,lt
Latvia,LV,428,lv
Croatia,HR,191,hr
Bosnia and Herzegovina,BA,70,hr
Slovakia,SK,703,sk
Estonia,EE,233,et
Netherlands,NL,528,de
Switzerland,CH,756,de
Moldova,MD,498,ro
Belgium,BE,56,de
Albania,AL,8,sq
Macedonia,MK,807,mk
Slovenia,SI,705,sl
Montenegro,ME,499,sr
Cyprus,CY,196,el
Luxembourg,LU,442,de
Faroe Is.,FO,234,da
Andorra,AD,20,ca
Malta,MT,470,mt
Liechtenstein,LI,438,de
Guernsey,GG,831,gb
San Marino,SM,674,it
Gibraltar,GI,292,gb
Monaco,MC,492,fr
Vatican City,VA,336,la
