date,Zürich,Basel,Bern
2015-05-28,54,19,
2015-05-28,54,19,
2015-05-29,50,20,
2015-05-30,54,19,
2015-05-31,57,19,
2015-06-01,56,17,
2015-06-02,58,16,
2015-06-03,63,20,
2015-06-04,76,26,
2015-06-05,75,26,
2015-06-06,76,26,
2015-06-07,75,27,
2015-06-08,76,28,
2015-06-09,82,29,
2015-06-10,80,29,
2015-06-11,74,28,
2015-06-12,75,27,
2015-06-13,76,27,
2015-06-14,74,27,
2015-06-15,79,27,
2015-06-16,82,26,
2015-06-17,80,31,
2015-06-18,84,29,
2015-06-19,85,31,
2015-06-20,84,30,
2015-06-21,84,30,
2015-06-22,84,30,
2015-06-23,88,29,
2015-06-24,89,28,
2015-06-25,98,36,
2015-06-26,100,37,
2015-06-27,100,37,
2015-06-28,100,39,
2015-06-29,103,38,
2015-06-30,98,37,
2015-07-01,95,36,
2015-07-02,99,34,
2015-07-03,97,33,
2015-07-04,99,32,
2015-07-05,99,32,
2015-07-07,99,32,
2015-07-08,100,31,
2015-07-09,99,30,
2015-07-10,99,34,
2015-07-11,103,35,
2015-07-12,103,35,
2015-07-13,97,36,
2015-07-14,96,36,
2015-07-15,99,35,
2015-07-16,101,35,
2015-07-17,104,34,5
2015-07-18,98,32,5
2015-07-19,97,32,5
2015-07-20,101,31,5
2015-07-21,99,32,5
2015-07-22,96,32,7
