date,"Ministrum Ltd.",AdQuam,"iCreate Consulting","Smart Consulting - Delivering IT","Page Personnel - Portugal","NOESIS Portugal"
2015-06-02,,5,,,5,
2015-06-03,,5,,,5,
2015-06-04,,6,,,5,5
2015-06-05,24,7,,,5,5
2015-06-06,24,7,,,5,5
2015-06-07,24,7,,,5,5
2015-06-08,24,6,,,5,5
2015-06-09,24,5,,,5,5
2015-06-10,24,5,,,5,
2015-06-11,21,5,5,,5,
2015-06-12,21,6,8,,5,5
2015-06-13,23,6,7,,5,
2015-06-14,21,5,8,,7,
2015-06-15,21,6,6,,7,
2015-06-16,20,6,,5,5,
2015-06-17,23,6,8,6,5,
2015-06-18,23,6,8,6,5,
2015-06-19,22,6,8,6,5,
2015-06-20,23,7,8,5,5,
2015-06-21,23,7,8,5,5,
2015-06-22,23,7,8,,5,
2015-06-23,23,7,8,,5,
2015-06-24,23,7,,,5,
2015-06-25,23,6,,,5,
2015-06-26,21,5,,,5,
2015-06-27,22,6,8,6,,
2015-06-28,22,6,8,6,,
2015-06-29,22,6,8,6,,
2015-06-30,22,7,8,6,,
2015-07-01,22,7,6,6,,
