date,Madrid,Barcelona,Gijón
2015-05-28,82,39,
2015-05-29,79,46,5
2015-05-30,81,43,
2015-05-31,78,45,5
2015-06-01,76,44,
2015-06-02,77,46,
2015-06-03,78,43,
2015-06-04,60,20,
2015-06-05,89,43,
2015-06-06,93,44,
2015-06-07,91,44,5
2015-06-08,91,44,
2015-06-09,66,21,
2015-06-10,66,21,
2015-06-11,67,23,
2015-06-12,93,44,5
2015-06-13,93,40,5
2015-06-14,68,23,
2015-06-15,66,24,
2015-06-16,67,23,
2015-06-17,65,22,
2015-06-18,66,21,
2015-06-19,86,42,5
2015-06-20,86,41,5
2015-06-21,67,21,
2015-06-22,83,37,6
2015-06-23,67,25,
2015-06-24,63,25,
2015-06-25,68,36,7
2015-06-26,56,19,
2015-06-27,71,20,
2015-06-28,56,21,
2015-06-29,68,37,6
2015-06-30,73,38,6
2015-07-01,77,36,
2015-07-02,64,20,
2015-07-03,66,20,
2015-07-04,66,20,
2015-07-05,65,20,
2015-07-06,67,21,
2015-07-07,68,23,
2015-07-08,79,24,
2015-07-09,64,22,
2015-07-10,67,22,
2015-07-11,78,23,
2015-07-12,78,22,
2015-07-13,73,19,
2015-07-14,72,19,
2015-07-15,74,19,
2015-07-16,76,19,
2015-07-17,76,21,
2015-07-18,75,21,
2015-07-19,74,20,
2015-07-20,73,20,
2015-07-21,75,20,
2015-07-22,70,20,
