date,Madrid,Barcelona,Granada
2015-05-28,28,10,5
2015-05-29,29,9,
2015-05-30,25,6,
2015-05-31,28,6,
2015-06-01,29,8,
2015-06-02,29,8,
2015-06-03,30,8,
2015-06-04,41,10,
2015-06-05,42,13,
2015-06-06,45,13,
2015-06-07,39,9,
2015-06-08,45,16,
2015-06-09,36,15,
2015-06-10,36,19,
2015-06-11,31,17,
2015-06-12,31,18,
2015-06-13,36,20,
2015-06-14,38,21,
2015-06-15,35,20,
2015-06-16,35,21,
2015-06-17,32,20,
2015-06-18,37,21,
2015-06-19,35,17,
2015-06-20,35,17,
2015-06-21,38,16,
2015-06-22,38,16,
2015-06-23,38,15,
2015-06-24,37,14,
2015-06-25,36,15,
2015-06-26,32,16,
2015-06-27,30,16,
2015-06-28,29,17,
2015-06-29,29,16,
2015-06-30,28,15,
2015-07-01,30,14,
2015-07-02,28,16,
2015-07-03,28,13,
2015-07-04,23,14,
2015-07-05,23,14,
2015-07-07,24,14,
2015-07-08,26,15,
2015-07-09,28,15,
2015-07-10,29,14,
2015-07-11,31,14,
2015-07-12,33,16,
2015-07-13,33,17,
2015-07-14,33,16,
2015-07-15,34,15,
2015-07-16,36,16,
2015-07-17,34,15,
2015-07-18,34,14,
2015-07-19,34,14,
2015-07-20,34,15,
