date,Paris,Lyon
2015-05-27,33,5
2015-05-27,33,5
2015-05-28,34,5
2015-05-28,34,5
2015-05-29,37,
2015-05-30,36,
2015-05-31,38,
2015-06-01,35,
2015-06-02,35,
2015-06-03,37,
2015-06-04,39,
2015-06-05,40,
2015-06-06,37,
2015-06-07,36,
2015-06-08,41,
2015-06-09,39,
2015-06-10,39,
2015-06-11,39,
2015-06-12,42,
2015-06-13,43,
2015-06-14,45,
2015-06-15,52,
2015-06-16,62,
2015-06-17,59,
2015-06-18,59,
2015-06-19,59,
2015-06-20,62,
2015-06-21,59,
2015-06-22,64,
2015-06-23,65,
2015-06-24,64,
2015-06-25,58,5
2015-06-26,58,5
2015-06-27,56,5
2015-06-28,53,5
2015-06-29,52,5
2015-06-30,52,5
2015-07-01,51,5
2015-07-02,49,6
2015-07-03,54,5
2015-07-04,52,5
2015-07-05,51,6
2015-07-06,51,6
2015-07-07,50,5
2015-07-08,53,5
2015-07-09,51,5
2015-07-10,50,
2015-07-11,52,
2015-07-12,53,
2015-07-13,55,
2015-07-14,55,
2015-07-15,54,
2015-07-16,55,
2015-07-17,54,
2015-07-18,53,
2015-07-19,54,
2015-07-20,54,
2015-07-21,57,
