date,IBM,"Amazon UK",Alcatel-Lucent,Microsoft,Amazon
2015-05-28,9,9,,,9
2015-05-29,9,9,,,8
2015-05-30,9,9,,,8
2015-05-31,9,9,,,8
2015-06-01,9,9,,,8
2015-06-02,10,9,,,8
2015-06-03,9,9,,,9
2015-06-04,11,8,,,9
2015-06-05,11,8,,,9
2015-06-06,11,9,,,9
2015-06-07,11,9,,,8
2015-06-08,11,9,,,8
2015-06-09,11,8,,,8
2015-06-10,11,9,,,7
2015-06-11,11,8,,,7
2015-06-12,13,8,,,7
2015-06-13,13,7,,,7
2015-06-14,13,8,,,7
2015-06-15,13,9,,,7
2015-06-16,13,9,,,9
2015-06-17,15,9,,,9
2015-06-18,15,8,5,,9
2015-06-19,15,8,5,,9
2015-06-20,15,8,5,,9
2015-06-21,15,8,5,,9
2015-06-22,15,8,5,,9
2015-06-23,15,5,5,,9
2015-06-24,14,5,5,,9
2015-06-25,14,,5,,5
2015-06-26,14,,5,,5
2015-06-27,14,,5,,5
2015-06-28,14,,5,,5
2015-06-29,14,,5,,5
2015-06-30,13,,5,,5
2015-07-01,12,,5,,
2015-07-02,12,,5,,
2015-07-03,12,,5,,
2015-07-04,12,,5,,
2015-07-05,12,,5,,
2015-07-07,12,,5,,
2015-07-08,12,,5,,
2015-07-09,12,,5,,
2015-07-10,12,,5,5,
2015-07-11,11,,5,,
2015-07-12,11,,5,,
2015-07-13,11,,5,,
2015-07-14,11,,5,,
2015-07-15,10,,5,,
2015-07-16,8,,5,,
2015-07-17,11,,5,5,
2015-07-18,11,,5,5,
2015-07-19,11,,5,5,
2015-07-20,10,5,5,5,
2015-07-21,9,5,5,,
2015-07-22,9,5,,,
2015-07-23,9,5,,,
