date,Brussels,Antwerp,Gent,Liège,Bruges
2015-05-28,39,19,,,
2015-05-28,40,19,,,
2015-05-29,43,20,,,
2015-05-30,42,20,,,
2015-05-31,42,20,,,
2015-06-01,46,22,,,
2015-06-02,49,22,,,
2015-06-03,51,22,,,
2015-06-04,52,23,,,
2015-06-05,52,24,,,
2015-06-06,52,21,,,
2015-06-07,50,21,,,
2015-06-08,49,22,,,
2015-06-09,51,22,,,
2015-06-10,48,19,,,
2015-06-11,48,19,,,
2015-06-12,43,17,,,
2015-06-13,43,17,,,
2015-06-14,43,16,,,
2015-06-15,50,14,,,
2015-06-16,52,13,,,
2015-06-17,54,13,,,
2015-06-18,55,14,,,
2015-06-19,54,14,,,
2015-06-20,54,14,,,
2015-06-21,52,14,,,
2015-06-22,52,15,,,
2015-06-23,56,14,,,
2015-06-24,57,16,,,
2015-06-25,56,15,,,
2015-06-26,66,15,,,
2015-06-27,92,30,,,
2015-06-28,95,31,,,
2015-06-29,98,30,5,,
2015-06-30,102,31,7,7,
2015-07-01,102,34,8,6,5
2015-07-02,25,7,,,
2015-07-03,24,8,,,
2015-07-04,25,8,,,
2015-07-05,25,8,,,
2015-07-07,26,9,,,
2015-07-08,29,8,,,
2015-07-09,31,9,,,
2015-07-10,30,10,,,
2015-07-11,28,10,,,
2015-07-12,28,10,,,
2015-07-13,31,10,5,,
2015-07-14,31,10,5,,
2015-07-15,30,10,5,,
2015-07-16,28,10,5,,
2015-07-17,28,12,,,
2015-07-18,28,12,,,
2015-07-19,28,12,,,
2015-07-20,29,12,5,,
