date,Maschinenlernen,"Soziale Netzwerkanalyse",Schlussfolgerung,Denken,"Process Mining"
2015-05-28,0,0,0,781,2
2015-05-28,0,0,0,781,2
2015-05-29,0,0,0,774,2
2015-05-30,0,0,0,760,2
2015-05-31,0,0,0,739,2
2015-06-01,0,0,0,747,2
2015-06-02,0,0,0,743,2
2015-06-03,0,0,0,758,2
2015-06-04,0,0,0,765,3
2015-06-05,0,0,0,738,3
2015-06-06,0,0,0,725,3
2015-06-07,0,0,0,717,3
2015-06-08,0,0,0,727,4
2015-06-09,0,0,0,743,4
2015-06-10,0,0,0,767,4
2015-06-11,0,0,0,778,4
2015-06-12,0,0,0,794,4
2015-06-13,0,0,0,792,4
2015-06-14,0,0,0,780,4
2015-06-15,0,0,0,791,4
2015-06-16,0,0,0,798,4
2015-06-17,0,0,0,806,4
2015-06-18,0,0,0,801,3
2015-06-19,0,0,0,774,3
2015-06-20,0,0,0,755,3
2015-06-21,0,0,0,739,3
2015-06-22,0,0,0,775,3
2015-06-23,0,0,0,775,3
