date,"Apprentissage automatique","Analyse des réseaux sociaux",inférence,raisonnement,"l&#39;exploitation minière de processus"
2015-05-27,0,0,0,15,0
2015-05-27,0,0,2,15,0
2015-05-28,0,0,2,13,0
2015-05-28,0,0,2,13,0
2015-05-29,0,0,2,16,0
2015-05-30,0,0,2,16,0
2015-05-31,0,0,2,17,0
2015-06-01,0,0,2,12,0
2015-06-02,0,0,2,12,0
2015-06-03,3,0,2,13,0
2015-06-04,3,0,2,13,0
2015-06-05,3,0,2,11,0
2015-06-06,3,0,2,10,0
2015-06-07,3,0,2,11,0
2015-06-08,3,0,2,14,0
2015-06-09,3,0,2,11,0
2015-06-10,2,0,2,11,0
2015-06-11,2,0,2,10,0
2015-06-12,2,0,2,11,0
2015-06-13,3,0,2,11,0
2015-06-14,3,0,2,11,0
2015-06-15,3,0,2,11,0
2015-06-16,2,0,2,14,0
2015-06-17,3,0,2,16,0
2015-06-18,3,0,2,14,0
2015-06-19,3,0,0,13,0
2015-06-20,2,0,0,12,0
2015-06-21,3,0,0,13,0
2015-06-22,2,0,0,13,0
2015-06-23,3,0,0,15,0
2015-06-24,3,0,0,11,0
2015-06-25,2,0,0,11,0
2015-06-26,2,0,0,14,0
2015-06-27,3,0,0,14,0
2015-06-28,2,0,0,10,0
2015-06-29,2,0,0,11,0
2015-06-30,2,0,0,12,0
2015-07-01,2,0,0,11,0
2015-07-02,2,0,0,12,0
2015-07-03,2,0,0,11,0
2015-07-04,0,0,0,11,0
2015-07-05,0,0,0,15,0
2015-07-06,0,0,0,16,0
2015-07-07,0,0,0,18,0
2015-07-08,0,0,0,25,0
2015-07-09,0,0,0,18,0
2015-07-10,0,0,0,26,0
2015-07-11,0,0,0,30,0
2015-07-12,0,0,0,30,0
2015-07-13,0,0,0,29,0
2015-07-14,0,0,0,29,0
2015-07-15,0,0,0,28,0
2015-07-16,0,0,0,31,0
2015-07-17,0,0,0,30,0
2015-07-18,0,0,0,30,0
2015-07-19,0,0,0,31,0
2015-07-20,0,0,0,31,0
2015-07-21,0,0,0,27,0
2015-07-22,0,0,0,28,0
2015-07-23,0,0,0,36,0
2015-07-24,0,0,0,0,0
