date,"Aprendizaje automático","Análisis de redes sociales",inferencia,razonamiento,"minería proceso"
2015-05-28,0,0,0,2,0
2015-05-29,0,0,0,2,0
2015-05-30,0,0,0,2,0
2015-05-31,0,0,0,2,0
2015-06-01,0,0,0,2,0
2015-06-02,0,0,0,2,0
2015-06-03,2,0,0,2,0
2015-06-04,2,0,0,2,0
2015-06-05,2,0,0,2,0
2015-06-06,2,0,0,2,0
2015-06-07,2,0,0,2,0
2015-06-08,2,0,0,2,0
2015-06-09,2,0,0,2,0
2015-06-10,2,0,0,2,0
2015-06-11,2,0,0,0,0
2015-06-12,2,0,0,0,0
2015-06-13,2,0,0,0,0
2015-06-14,2,0,0,0,0
2015-06-15,2,0,0,0,0
2015-06-16,2,0,0,0,0
2015-06-17,2,0,0,0,0
2015-06-18,2,0,0,0,0
2015-06-19,2,0,0,0,0
2015-06-20,2,0,0,0,0
2015-06-21,2,0,0,0,0
2015-06-22,2,0,0,0,0
2015-06-23,2,0,0,0,0
2015-06-24,2,0,0,0,0
2015-06-25,2,0,0,0,0
2015-06-26,2,0,0,0,0
2015-06-27,2,0,0,0,0
2015-06-28,2,0,0,0,0
2015-06-29,2,0,0,0,0
2015-06-30,2,0,0,0,0
2015-07-01,2,0,0,0,0
2015-07-02,0,0,0,0,0
2015-07-03,0,0,0,0,0
2015-07-04,0,0,0,0,0
2015-07-05,0,0,0,2,0
2015-07-06,0,0,0,2,0
2015-07-07,0,0,0,2,0
2015-07-08,0,0,0,2,0
2015-07-09,0,0,0,2,0
2015-07-10,0,0,0,2,0
2015-07-11,0,0,0,2,0
2015-07-12,0,0,0,2,0
2015-07-13,0,0,0,2,0
2015-07-14,0,0,0,0,0
2015-07-15,0,0,0,0,0
2015-07-16,0,0,0,0,0
2015-07-17,0,0,0,0,0
2015-07-18,0,0,0,0,0
2015-07-19,0,0,0,0,0
2015-07-20,0,0,0,0,0
2015-07-21,0,0,0,2,0
2015-07-22,0,0,0,2,0
2015-07-23,0,0,0,2,0
2015-07-24,0,0,0,0,0
2015-07-25,0,0,0,0,0
2015-07-26,0,0,0,0,0
2015-07-27,0,0,0,0,0
<<<<<<< HEAD
<<<<<<< HEAD
2015-07-28,0,0,0,0,0
2015-07-29,0,0,0,0,0
=======
>>>>>>> parent of bc199ec... Auto updated data bot
=======
>>>>>>> parent of bc199ec... Auto updated data bot
