date,Maschinenlernen,"Soziale Netzwerkanalyse",Schlussfolgerung,Denken,"Process Mining"
2015-05-28,0,0,0,231,0
2015-05-28,0,0,0,228,0
2015-05-29,0,0,0,225,0
2015-05-30,0,0,0,235,0
2015-05-31,0,0,0,237,0
2015-06-01,0,0,0,233,0
2015-06-02,0,0,0,237,0
2015-06-03,0,0,0,227,0
2015-06-04,0,0,0,260,0
2015-06-05,0,0,0,261,0
2015-06-06,0,0,0,261,0
2015-06-07,0,0,0,253,0
2015-06-08,0,0,0,253,0
2015-06-09,0,0,0,242,0
2015-06-10,0,0,0,224,0
2015-06-11,0,0,0,225,0
2015-06-12,0,0,0,222,0
2015-06-13,0,0,0,222,0
2015-06-14,0,0,0,220,0
2015-06-15,0,0,0,254,0
2015-06-16,0,0,0,254,0
2015-06-17,0,0,0,260,0
2015-06-18,0,0,0,261,0
2015-06-19,0,0,0,262,0
2015-06-20,0,0,0,265,0
2015-06-21,0,0,0,265,0
2015-06-22,0,0,0,263,0
2015-06-23,0,0,0,264,0
2015-06-24,0,0,0,268,0
2015-06-25,0,0,0,264,0
2015-06-26,0,0,0,262,0
2015-06-27,0,0,0,256,0
2015-06-28,0,0,0,254,0
2015-06-29,0,0,0,258,0
2015-06-30,0,0,0,257,0
2015-07-01,0,0,0,248,0
2015-07-02,0,0,0,258,0
2015-07-03,0,0,0,222,0
2015-07-04,0,0,0,222,0
2015-07-05,0,0,0,220,0
2015-07-07,0,0,0,227,0
2015-07-08,0,0,0,227,0
2015-07-09,0,0,0,232,0
2015-07-10,0,0,0,236,0
2015-07-11,0,0,0,250,0
2015-07-12,0,0,0,248,0
2015-07-13,0,0,0,248,0
2015-07-14,0,0,0,246,0
2015-07-15,0,0,0,251,0
2015-07-16,0,0,0,254,0
