date,Maschinenlernen,"Soziale Netzwerkanalyse",Schlussfolgerung,Denken,"Process Mining"
2015-05-28,0,0,0,86,0
2015-05-28,0,0,0,86,0
2015-05-29,0,0,0,83,0
2015-05-30,0,0,0,86,0
2015-05-31,0,0,0,89,0
2015-06-01,0,0,0,86,0
