date,Maschinenlernen,"Soziale Netzwerkanalyse",Schlussfolgerung,Denken,"Process Mining"
2015-05-28,0,0,0,86,0
2015-05-28,0,0,0,89,0
2015-05-29,0,0,0,90,0
2015-05-30,0,0,0,87,0
2015-05-31,0,0,0,85,0
2015-06-01,0,0,0,92,0
2015-06-02,0,0,0,95,0
2015-06-03,0,0,0,98,0
2015-06-04,0,0,0,106,0
2015-06-05,0,0,0,108,0
2015-06-06,0,0,0,104,0
2015-06-07,0,0,0,104,0
2015-06-08,0,0,0,106,0
2015-06-09,0,0,0,108,0
2015-06-10,0,0,0,108,0
2015-06-11,0,0,0,106,0
2015-06-12,0,0,0,103,0
2015-06-13,0,0,0,103,0
2015-06-14,0,0,0,101,0
2015-06-15,0,0,0,105,0
2015-06-16,0,0,0,111,0
2015-06-17,0,0,0,112,0
2015-06-18,0,0,0,106,0
2015-06-19,0,0,0,108,0
2015-06-20,0,0,0,105,0
2015-06-21,0,0,0,104,0
2015-06-22,0,0,0,107,0
2015-06-23,0,0,0,107,0
2015-06-24,0,0,0,112,0
2015-06-25,0,0,0,108,0
2015-06-26,0,0,0,111,0
2015-06-27,0,0,0,149,0
2015-06-28,0,0,0,153,0
2015-06-29,0,0,0,159,0
2015-06-30,0,0,0,163,0
2015-07-01,0,0,0,218,0
2015-07-02,0,0,0,175,0
2015-07-03,0,0,0,173,0
2015-07-04,0,0,0,166,0
2015-07-05,0,0,0,160,0
2015-07-07,0,0,0,184,0
2015-07-08,0,0,0,181,0
2015-07-09,0,0,0,177,0
2015-07-10,0,0,0,185,0
2015-07-11,0,0,0,224,0
2015-07-12,0,0,0,222,0
2015-07-13,0,0,0,227,0
2015-07-14,0,0,0,235,0
2015-07-15,0,0,0,234,0
2015-07-16,0,0,0,231,0
