date,"Machine learning","Social network analysis",inference,reasoning,"process mining"
2015-05-28,55,0,6,51,0
2015-05-29,55,0,6,48,0
2015-05-30,56,0,6,49,0
2015-05-31,56,0,6,48,0
2015-06-01,56,0,6,42,0
2015-06-02,58,0,6,40,0
2015-06-03,56,0,6,38,0
2015-06-04,58,0,6,38,0
2015-06-05,59,0,6,35,0
2015-06-06,60,0,6,36,0
2015-06-07,60,0,6,33,0
2015-06-08,60,0,6,31,0
2015-06-09,61,0,6,29,0
2015-06-10,63,0,6,27,0
2015-06-11,61,0,6,24,0
2015-06-12,58,0,5,26,0
2015-06-13,57,0,5,26,0
2015-06-14,57,0,5,26,0
2015-06-15,56,0,5,28,0
2015-06-16,57,0,5,33,0
2015-06-17,57,0,4,35,0
2015-06-18,57,0,3,31,0
2015-06-19,58,0,3,31,0
2015-06-20,58,0,3,31,0
2015-06-21,58,0,3,31,0
2015-06-22,58,0,3,31,0
2015-06-23,59,0,4,30,0
2015-06-24,57,0,4,30,0
2015-06-25,55,0,5,28,0
2015-06-26,53,0,5,27,0
2015-06-27,54,0,5,26,0
2015-06-28,56,0,5,26,0
2015-06-29,57,0,5,26,0
2015-06-30,57,0,5,27,0
2015-07-01,56,0,5,27,0
2015-07-02,55,0,5,26,0
2015-07-03,55,0,5,24,0
