date,"Machine learning","Social network analysis",inference,reasoning,"process mining"
2015-03-11,172,8,14,347,0
2015-03-12,175,8,13,348,0
2015-03-16,207,10,12,426,0
2015-03-18,208,11,12,426,2
2015-03-18,206,11,11,432,2
2015-03-19,210,13,12,433,2
2015-03-20,204,12,12,448,2
2015-03-21,201,11,11,447,2
2015-03-22,201,11,11,443,2
2015-03-23,206,11,11,437,2
2015-03-24,210,11,11,413,2
2015-03-25,206,11,12,410,0
2015-03-26,211,10,12,419,0
2015-03-27,215,10,10,413,0
2015-03-28,214,10,10,413,0
2015-03-29,214,10,8,429,0
