date,"Amazon UK",Amazon
2015-05-30,19,
2015-05-31,19,23
2015-06-01,21,22
2015-06-02,21,22
2015-06-03,22,23
2015-06-04,21,23
2015-06-05,21,23
2015-06-06,21,23
2015-06-07,21,23
2015-06-08,21,23
2015-06-09,21,23
2015-06-10,22,24
2015-06-11,22,25
2015-06-12,23,26
2015-06-13,24,26
2015-06-14,24,26
2015-06-15,24,26
2015-06-16,25,25
2015-06-17,24,25
2015-06-18,24,25
2015-06-19,28,26
2015-06-20,28,26
