date,Siemens,Bertrandt,PwC,"Allianz Group","arvato Systems","arvato Systems S4M GmbH","Orizon GmbH","See More","AUDI AG","FERCHAU Engineering","home of jobs Hamburg GmbH","BMW Group","Daimler AG",Bosch,"Deloitte Deutschland",Deloitte,"GKM-recruitment partner Ltd.","Airbus Group"
2015-05-27,,7,8,,5,6,,5,,6,5,6,,,,5,,
2015-05-27,,7,8,,5,,,5,,6,5,6,,,,5,,
2015-05-28,,7,8,,5,,,5,,6,5,6,,,,5,,
2015-05-28,,7,8,,5,,,5,,6,5,6,,,,5,,
2015-05-29,,7,8,,5,7,,5,,7,5,5,,,,,5,5
2015-05-30,,7,8,,5,7,,5,,7,5,,,,,,5,5
2015-06-01,,6,8,,5,7,6,5,,7,5,,,,,,5,
2015-06-02,,6,8,,5,7,5,5,,7,5,,,,,,,
2015-06-04,,6,8,,6,8,5,5,,7,,,,,,5,,
2015-06-05,,6,8,,6,6,5,5,,7,,,,,,,,
2015-06-07,,7,8,,6,7,6,5,,7,5,,,,,5,,
2015-06-09,,7,8,,6,7,6,5,,7,5,,,,,,,
2015-06-10,,7,8,,6,7,6,6,,6,,,,,,,,
2015-06-11,,7,8,,6,9,6,5,,7,5,,6,,6,,,
2015-06-14,,7,8,,6,5,5,5,,7,5,,6,5,5,,,
2015-06-15,,7,8,,6,6,,5,,7,5,,6,5,5,,,
2015-06-20,,10,7,7,7,9,,5,5,6,5,5,6,5,,,,
2015-06-21,,10,7,7,7,9,,5,5,6,5,5,6,5,,,,
2015-06-22,,10,7,7,7,9,,5,5,6,5,5,5,5,,,,
2015-06-23,,10,7,7,7,8,,5,5,6,5,,,,,,,
2015-06-25,,10,7,7,7,,,,5,,,,,,,,,
2015-06-27,,10,7,8,7,6,6,5,5,,,,,,,,,
2015-06-30,,10,7,8,7,6,6,5,5,,,,,,,,,
2015-07-01,,10,7,7,7,6,5,5,,,,,,,,,,
2015-07-11,5,,,,,,,,,,,,,,,,,
2015-07-12,5,,,,,,,,,,,,,,,,,
2015-07-13,5,,,,,,,,,,,,,,,,,
2015-07-14,5,,,,,,,,,,,,,,,,,
