date,Paris,Lyon,Montpellier,Rennes,Lille,Nantes,Toulouse,Marseille,Nice,Amiens,Orléans,"See More",Rouen,Tours,Grenoble,"La Rochelle",Bordeaux,Metz,Chambéry,"Perpignan (Perpinyà)",Limoges,Dijon,Strasbourg
2015-05-27,355,20,7,11,20,,20,15,10,,7,7,9,,8,7,,,,8,9,,
2015-05-27,357,20,9,11,20,,20,15,10,,7,7,9,,8,7,,,,8,9,,
2015-05-28,353,21,10,11,19,,20,16,11,,7,7,9,,8,,7,,,8,9,,
2015-05-28,356,21,10,11,20,,21,15,11,,,7,10,,8,,7,,,9,9,10,
2015-05-29,364,18,11,11,18,7,21,17,13,,,7,10,,9,,7,,,,8,10,
2015-05-30,328,19,11,10,17,,21,20,12,7,,7,9,,10,,8,,,8,,10,
2015-05-31,329,19,11,12,16,,21,19,11,,8,8,9,,11,,8,,,9,,10,
2015-06-01,312,14,11,10,16,7,17,17,10,,,7,9,,10,,10,,,8,,10,
2015-06-02,305,13,9,10,16,9,16,18,,,,9,,,,,11,,,,,9,
2015-06-03,348,19,12,12,19,9,18,20,14,,,8,9,,12,,13,,,8,,9,
2015-06-04,363,18,11,11,19,9,20,20,15,,,8,8,,16,,13,,,,,11,11
2015-06-05,332,17,11,9,15,9,19,17,10,,,8,,,16,8,14,,,,,12,9
2015-06-06,328,19,11,10,15,9,18,19,,,,7,,,17,10,15,,,8,,11,7
2015-06-07,322,19,11,10,14,9,17,20,7,,,7,,,16,11,15,,,8,,11,
2015-06-08,315,18,10,9,14,10,16,20,,,7,7,,,15,9,15,,,7,,9,
2015-06-09,331,20,10,9,15,16,17,19,,,7,7,,,14,9,15,,,,,9,9
2015-06-10,335,19,10,10,15,14,17,17,6,,,6,,,15,6,15,,,,7,,9
2015-06-11,316,20,10,11,15,13,16,18,,,7,6,,,15,6,14,,,,8,,9
2015-06-12,311,23,9,11,15,15,15,19,6,,,6,,,16,6,12,,,,9,,7
2015-06-13,307,22,7,11,16,15,17,16,6,,,6,,,14,7,11,,,,9,,6
2015-06-14,310,21,7,11,17,15,17,16,7,,6,6,,,13,7,11,,,,9,,
2015-06-15,308,20,,11,17,18,17,17,10,,,9,,,13,11,12,,,9,9,9,
2015-06-16,348,21,,11,18,17,18,19,10,,,9,,,15,12,13,,,11,9,9,
2015-06-17,329,21,6,11,17,14,18,18,8,,,6,,,,,13,,,,,,
2015-06-18,366,21,9,15,18,16,20,19,11,,,9,9,,14,,15,,,11,10,,
2015-06-19,346,23,8,15,15,13,19,20,11,,,8,,,,,13,,,,,10,
2015-06-20,332,20,8,15,15,15,18,20,12,,,8,,,,,14,,,,,,
2015-06-21,331,19,8,14,15,14,18,20,12,,,8,,,,,14,,,,,,
2015-06-22,353,22,9,14,17,16,22,19,11,,,8,,,13,,12,,,12,10,8,
2015-06-23,336,24,8,13,16,13,20,18,10,,,8,9,,,,10,,,,,10,
2015-06-24,347,25,8,12,15,16,20,17,12,,,8,,,12,,9,,,11,9,9,
2015-06-25,324,24,6,12,14,14,26,16,9,,,6,,,,,10,,,,,9,
2015-06-26,320,22,8,12,13,15,26,20,9,,,8,,,,,12,,,,,9,
2015-06-27,317,21,8,12,11,11,23,20,9,,,8,,,13,8,12,,,10,8,,
2015-06-28,321,21,9,12,11,13,23,17,9,,,8,8,,12,,12,,,12,8,,
2015-06-29,399,29,16,13,17,15,28,19,13,,,5,,5,,,19,5,9,,,,
2015-06-30,347,23,9,14,14,19,22,18,,,,5,,5,,,14,,7,,,,
2015-07-01,359,23,10,12,12,20,17,17,,7,,5,,5,,,15,,,,,,
2015-07-02,377,23,11,14,13,19,17,16,12,9,,5,,5,,,15,,,,,,
2015-07-03,415,24,14,24,17,24,23,18,9,10,,5,,5,,,20,6,,,,,
2015-07-04,418,24,14,24,17,26,23,18,9,10,,5,,5,,,20,6,,,,,
2015-07-05,438,23,15,24,18,25,24,20,8,11,,6,,7,,,20,6,,,,,
2015-07-06,442,23,15,24,18,26,24,20,8,11,,6,,7,,,19,6,,,,,
2015-07-07,434,27,15,24,16,25,25,19,8,12,,6,,6,,,24,,,,,,
2015-07-08,473,33,21,24,21,27,23,19,12,,,7,,8,,,25,7,,,,,
2015-07-09,430,33,13,23,18,19,23,17,8,14,,6,,6,,,,6,,,,,
2015-07-10,448,35,15,21,19,19,23,17,8,,,6,,7,14,,,6,,,,,
2015-07-11,484,38,23,22,21,22,22,19,12,,,8,,8,13,,22,,,,,,
2015-07-12,479,36,21,23,21,22,23,23,14,,,11,,11,14,,22,,,,,,
2015-07-13,486,36,22,22,21,21,23,22,12,,,9,11,9,13,,22,,,,,,
2015-07-14,491,35,25,22,21,21,22,19,12,,,9,11,9,13,16,,,,,,,
2015-07-15,486,36,24,22,22,22,23,19,13,,,9,11,9,13,14,,,,,,,
2015-07-16,475,35,24,22,21,22,23,,,,,9,10,9,13,14,,,,,,,
2015-07-17,472,36,24,24,20,21,23,,17,,,9,12,9,13,19,,,,,,,
2015-07-18,466,36,23,22,20,21,19,,16,,,9,12,9,14,19,,,,,,,
2015-07-19,467,36,23,23,19,21,18,,18,,,9,13,9,15,19,,,,,,,
2015-07-20,472,38,21,23,21,22,18,,18,,6,6,12,8,14,,,,,,,,
2015-07-21,470,39,21,23,22,22,18,,15,,6,5,13,5,14,,,,,,,,
2015-07-22,486,38,22,24,23,22,21,18,16,,6,6,13,6,,,,,,,,,
2015-07-23,497,38,23,23,22,22,19,18,16,12,6,6,,,,,,,,,,,
