date,"Do-it Trust","Morgan Thomas Recruitment",Travelex,PAREXEL,"Goldman Sachs",Concentrix,JobsInSussex.com,Citi,HSBC,"Amazon UK","Credit Suisse",Amazon,"Edge Hill University","QA Apprenticeships",Apple,"See More","Société Générale",JobsInSurrey.com,"Confidential Company - Undisclosed",Hays,"Carillion PLC (Seconded to Holdfast Training Services Ltd)","LEGO Group",Deloitte,"Morgan Stanley","Chico&#39;s FAS, Inc.",MBDA,ARM,"Bank of America","LGB Direct","Care UK",EY,"Thomson Reuters","Royal Bank of Scotland","QS Recruitment","Xpat Jobs.com",CareerBuilder.com,Adzuna,CVbrowser,"Williams &amp; Glyn","Peer 1 Hosting","Experis IT","Global Nomadic",StaffNurse.com,"Advanced Construction &amp; Engineering Resources","JPMorgan Chase &amp; Co.",IBM,"Fluor Corporation",Acer,"CH2M HILL","ODF Technologies, Inc.","Fulbridge Social Care",Elsevier,Entu
2015-04-18,151,,73,117,,54,,31,,,26,,,19,,16,,,,21,,,,,,,22,,,,16,19,16,,886,96,74,,,,,,,,,,,,,,,,
2015-04-19,151,,63,117,,54,,28,,,27,,,19,,16,,,,21,,,,,,,22,,,,16,19,,,1549,108,85,17,,,,,,,,,,,,,,,
2015-04-20,152,,68,117,43,54,,30,,,26,,,19,,19,,,,21,,,,,,,22,,,,,19,19,,1495,103,85,,,,,,,,,,,,,,,,
2015-04-21,155,,68,117,49,53,,31,,17,26,,,19,,15,15,,,20,,,,,,,21,,,,17,19,19,,,,,,,,,,,,,,,,,,,,
2015-04-22,152,,70,117,49,49,,29,,17,24,,,19,,15,15,,,20,,,,,,,21,,,,18,18,21,,,,,,,,,,,,,,,,,,,,
2015-04-23,157,,68,117,49,54,,34,,18,24,,,19,,15,15,,,21,,,,,,,18,,,,18,19,21,,,,,,,,,,,,,,,,,,,,
2015-04-24,156,,69,117,52,55,,38,,17,23,,,19,,15,15,,,25,,,,,,,18,,,,17,19,15,,,,,,,,,,,,,,,,,,,,
2015-04-25,156,,84,117,52,54,,38,,16,23,,,20,,16,,,,24,,,,,,,18,,,16,17,19,,16,,,,,,,,,,,,,,,,,,,
2015-04-26,156,,80,117,52,55,,36,,16,22,,,20,,15,15,,,24,,,,,,,18,,,16,17,18,,,,,,,,,,,,,,,,,,,,,
2015-04-27,150,,81,117,51,54,,35,,,23,,,20,,16,,,,24,,,,,,,18,16,,16,16,17,16,,,,,,,,,,,,,,,,,,,,
2015-04-28,153,,81,117,54,55,,35,,,26,,,20,,15,,,,20,,,,,,,18,15,18,16,16,16,,,,,,,,,,,,,,,,,,,,,
2015-04-29,151,,82,117,55,55,,32,,,25,,,20,,16,18,,,21,,,,,,,18,,18,16,16,16,,,,,,,,,,,,,,,,,,,,,
2015-04-30,147,,86,116,57,53,,32,,17,25,,,20,23,16,18,,,24,,,,,,,18,,18,,16,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,145,,79,116,58,42,,32,,17,27,,,20,24,16,18,,,26,,,,,,,16,,18,16,,,,,,,,,,,,,,,,,,,,,,,
2015-05-02,145,,83,116,58,54,,30,,17,28,,,20,24,16,18,,,22,,18,,,,,16,,18,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-03,145,,77,116,58,54,,29,,17,27,,,20,24,15,18,,,22,,17,,,,,16,15,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,142,,71,116,58,52,,29,,18,27,,,20,24,16,18,,29,20,,,,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,145,,74,117,57,54,,30,,19,30,,,20,24,16,18,,29,22,,,,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,149,,83,117,59,53,,27,,19,29,,,20,24,16,18,,20,29,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,147,,84,118,58,53,,30,,19,28,,,20,24,16,18,,21,36,,16,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,144,,84,118,58,53,,31,,22,24,,,21,21,16,19,,23,38,,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09,144,,87,118,58,54,,31,16,23,24,,,21,21,16,20,,28,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-10,144,,85,118,58,53,49,32,,23,24,,,21,21,18,20,18,28,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,145,,85,118,60,54,45,31,,24,27,,,21,21,20,20,21,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,145,,85,118,60,54,45,31,27,24,25,,,21,21,21,,21,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,145,,88,61,58,55,45,31,24,24,23,,,21,21,19,19,,28,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,145,,93,61,58,55,50,31,22,24,23,,,21,23,19,19,,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,145,90,92,61,57,47,49,33,21,24,24,,,21,,21,,21,28,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-16,144,98,83,61,57,55,46,31,22,24,25,,,21,,20,20,,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-17,144,134,89,61,57,55,48,29,23,24,24,23,,21,,20,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,144,133,84,61,57,55,48,28,22,24,25,23,24,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,144,131,95,61,55,50,46,30,24,24,23,23,23,21,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,143,132,96,61,56,56,47,28,24,24,23,22,21,21,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
