date,Shred-it,"Arise Virtual Solutions Inc.","Arch Apprentices","Confidential Company - Undisclosed","prosperIS Recruitment","Xpat Jobs.com"
2015-04-18,,,,,,38
2015-04-19,,,,,,68
2015-04-20,,,,,,66
2015-04-28,6,,,,,
2015-04-29,6,,,,,
2015-04-30,6,,,,,
2015-05-01,6,,,,,
2015-05-02,6,,,,,
2015-05-29,5,,,,,
2015-05-30,,,,,9,
2015-05-31,,,,,9,
2015-06-01,,,,,9,
2015-06-03,5,,,,9,
2015-06-05,26,,8,,9,
2015-06-06,33,,8,,9,
2015-06-07,31,,8,,,
2015-06-08,29,,8,,,
2015-06-09,28,,11,,,
2015-06-10,28,,11,,,
2015-06-11,29,17,12,,,
2015-06-12,29,17,12,,,
2015-06-16,19,18,12,,,
2015-06-24,22,17,12,,,
2015-06-25,22,13,12,,,
2015-06-26,22,18,12,5,,
