date,London,Manchester,Edinburgh,Swindon,Reading,Nottingham,Leeds,Birmingham,Bristol,"Milton Keynes",Twickenham,"Kingston upon Thames",Northampton,Redhill,"See More",Slough,Glasgow,Oxford,Coventry,Chester,Portsmouth,Southall,Watford,Guildford,Derby,Gloucester,Cambridge,Chelmsford,Sheffield,Brighton,"Newcastle upon Tyne",Belfast,Bournemouth,Llandudno,"Hemel Hempstead",Bradford,Stockport,Carlisle,Peterborough
2015-03-11,174,,10,8,11,,,,,,6,5,6,,5,17,9,,5,,,,,6,,,12,,,,,6,,8,,,,,
2015-03-12,178,,12,7,8,,,7,,,5,6,5,,5,18,8,7,,,,,,6,,,10,,,,,,,10,,,,,
2015-03-16,195,,11,10,11,,,10,,6,,6,,,6,19,,11,,,,,,7,,,13,,,,,6,,8,,,,7,
2015-03-18,179,,12,8,8,,6,8,,,6,,5,,5,18,,8,,,,,,,,,12,,,,,6,,10,,,7,,
2015-03-18,192,,11,9,10,,,8,,,,,,,6,19,,7,,,,,,6,,,13,,7,,,6,,8,,,9,8,
2015-03-19,196,,13,9,9,,,8,,,,7,,,6,19,,7,,,,,,,,,14,,8,,,6,,6,,,8,7,
2015-03-20,191,,15,9,8,,,7,,,7,,,,7,18,,7,,,,,,,,,11,,8,,,,,8,,,7,7,8
2015-03-21,198,,13,9,11,,,8,,,7,7,,,7,19,,7,,,,,,,,,11,,8,,,,,,,,8,7,7
2015-03-22,196,,13,9,10,,,8,,,7,,,,6,19,,7,,,,,,,,,11,,8,,,6,,,,,8,7,7
2015-03-23,198,,13,9,10,,,8,,,,,,,6,19,6,,6,,,,,,,,11,,8,,,6,,,,,8,6,7
2015-03-24,192,,13,9,10,,,8,,6,6,,,,6,19,8,6,,,,,,,,,12,,8,,,,,,,,7,6,
2015-03-25,196,,16,11,11,,6,8,,,6,,,,6,18,11,7,,,,,,,,,13,,8,,,6,,,,,7,,
2015-03-26,192,,14,9,12,,6,7,,6,,,,,6,16,12,8,,,,,,,,,13,,8,,,6,,,,,6,,
2015-03-27,177,,12,8,12,,6,7,,7,,,,,5,16,10,7,,,,,,,,,11,,5,,,,5,,,,7,,
2015-03-28,184,,11,10,12,,,5,,6,,5,,,5,15,11,7,5,,,,,,,,11,,,,,,5,,,,7,,
2015-03-29,181,,11,10,12,,,6,,6,,,,,5,15,11,7,5,,,,,6,,,11,,,,,,5,,,,7,,
2015-03-30,175,,12,12,11,,,6,,6,,,,,5,16,11,6,5,,,,,6,,,12,,,,,,5,,,,6,,
2015-03-31,183,,12,11,11,,,5,,6,,6,,,5,17,11,7,5,,,,,6,,,11,,,,,,5,,,,,,
2015-04-01,162,,16,8,14,,,6,,6,6,8,,,5,17,8,8,5,,,,,,,,11,,,,,,5,,,,,,
2015-04-02,162,,13,8,10,,5,7,,,,8,,,5,18,7,8,7,,,,,5,,,10,,,,,,5,,,,,,
2015-04-03,166,,13,8,8,,,9,,7,,8,,,5,19,8,9,7,,,,,5,,,8,,,,,,5,,,,,,
2015-04-04,176,,14,8,8,,,7,,7,,9,,,5,19,8,8,7,,,,,5,,,8,,,,,,5,,,,,,
2015-04-05,173,,14,8,8,,,8,,7,,9,,,5,19,8,8,7,,,,,5,,,8,,,,,,5,,,,,,
2015-04-06,173,,14,7,8,,,8,,6,,9,,,5,19,8,8,7,,,,,5,,,9,,,,,,5,,,,,,
2015-04-07,176,,13,7,9,,,7,,9,6,9,,,6,19,7,7,8,,,,,7,,,11,,,,,,,,,,,,
2015-04-08,175,,13,7,9,,,7,,11,,9,,,6,19,7,8,9,,,,,8,,,11,,,,,,,6,,,,,
2015-04-09,172,,13,,10,,,8,,9,,9,,,5,19,8,8,10,,,,,8,,,11,,,,,,,5,,6,,,
2015-04-10,179,,14,6,10,,,8,,9,,9,,,5,19,8,8,10,,,,,8,,,12,,,,,,,,,5,,,
2015-04-11,185,,18,,10,,,9,,11,,8,,,7,19,9,9,10,,,,,10,,,14,,,,,9,,7,,,,,
2015-04-12,184,,18,,10,,,9,,11,,8,,,7,19,9,8,10,,,,,10,,,13,,,,,9,,7,,,,,
2015-04-13,183,8,17,,10,,,9,,11,,7,,,7,19,9,9,10,,,,,10,,,12,,,,,9,,,,,,,
2015-04-14,181,8,17,10,10,,,,,14,,,,,7,20,9,8,10,,,,,13,,,11,,,,,9,,7,,,,,
2015-04-15,184,7,16,9,10,,,,,13,,,,,7,21,9,7,11,,,,,13,,,11,,,,,9,,8,,,,,
2015-04-16,181,8,14,9,10,,,,,13,,7,,,7,22,9,,11,,,,,12,,,10,,,,,10,,8,,,,,
2015-04-17,185,10,15,9,13,,,,,15,,,,,8,22,9,8,11,,,,,11,,,11,,,,,10,,9,,,,,
2015-04-18,238,14,21,,24,,15,9,,14,,,,,9,27,15,11,16,,,,,11,,,,,,,,10,,,10,,,,
2015-04-19,281,14,27,,25,14,14,12,,19,,,,,11,30,18,14,15,,,,,,,,,,,,,11,,,12,,,,
2015-04-20,290,13,27,,23,14,17,12,,17,,,,,12,26,17,14,15,,,,,12,,,,,,,,12,,,,,,,
2015-04-21,198,11,13,8,11,,7,,,10,,9,,,7,18,9,,11,,,,,10,,,8,,,,,11,,,,,,,
2015-04-22,194,10,11,9,10,,7,,,11,,11,,,7,20,9,,10,,,,,9,,,9,,,,,11,,,,,,,
2015-04-23,202,11,10,7,10,,,,6,11,,11,,,6,20,9,,9,,,,,11,,,9,,,,,11,,,,,,,
2015-04-24,200,10,9,,10,,,7,,11,,11,,,7,20,9,,9,,,,,11,,,12,9,,,,11,,,,,,,
2015-04-25,198,10,9,,11,,,8,,11,,12,,,8,20,10,,9,,,,,10,,,10,9,,,,11,,,,,,,
2015-04-26,195,10,8,,11,,,8,,11,,11,,,8,20,10,,10,,,,,10,,,9,9,,,,11,,,,,,,
2015-04-27,196,9,8,,11,,,9,,13,,11,,,8,19,10,,10,,,,,11,,,9,9,,,,11,,,,,,,
2015-04-28,200,8,9,,11,,,9,,14,,11,,,8,18,10,,9,,,,,11,,,9,10,,,,11,,,,,,,
2015-04-29,214,9,11,,10,,,7,,13,,10,,,7,18,10,,9,,,,,12,,,9,8,,,,11,,,,,,,
2015-04-30,213,8,10,,10,,,,7,14,,10,,,7,17,10,,9,,,,,10,,,8,9,,,,11,,,,,,,
2015-05-01,203,,9,9,10,,,9,8,13,,9,,,8,17,10,,,,,,,11,,,9,9,,,,10,,,,,,,
2015-05-02,206,,10,9,10,,,7,8,13,,9,,,7,18,10,,,,,,,12,,,9,9,,,,10,,,,,,,
2015-05-03,203,,10,9,10,,,8,9,9,,10,,,8,18,10,,,,,,,11,,,8,8,,,,10,,,,,,,
2015-05-04,206,,10,9,11,,,8,9,11,,10,,,7,18,11,,,,,,,10,,,10,,,,,10,,7,,,,,
2015-05-05,206,,11,8,11,,,10,8,13,,10,,,7,17,11,,,,,,,11,,,10,,,,,10,,7,,,,,
2015-05-06,215,,10,8,11,,8,10,10,11,,10,,,8,17,10,,,,,,,11,,,9,,,,,9,,,,,,,
2015-05-07,203,,13,,13,,9,10,12,11,,10,,,8,17,11,,8,,,,,11,,,9,,,,,9,,,,,,,
2015-05-08,208,,13,8,15,,9,8,12,10,,10,,,8,16,12,,,,,,,11,,,9,,,,,9,,,,,,,
2015-05-09,204,,13,8,15,,9,7,11,11,,10,,,7,16,12,,,,,,,9,,,9,,,,,9,,,,,,,
2015-05-10,201,,14,8,16,,9,,11,11,,10,,,7,16,11,,,,,,,8,,,9,,,,,9,,7,,,,,
2015-05-11,204,,13,8,18,,9,,11,11,,9,,,7,16,13,,7,,,,,10,,,8,,,,,9,,,,,,,
2015-05-12,213,9,13,10,18,,9,,12,13,,9,,,8,15,11,,,,,,,9,,,8,,,,,9,,,,,,,
2015-05-13,207,,13,10,17,,10,,10,13,,9,8,,7,13,9,,,,,,,9,,,7,,,,,,7,,,,,,
2015-05-14,201,,13,10,16,,9,,9,15,,8,9,,8,11,9,,9,,,,,8,,,,8,,,,,,,,,,,
2015-05-15,199,,15,10,14,,8,7,8,18,,8,9,,7,11,8,,9,,,,,,,,,,,,,,7,,,,,,
2015-05-16,202,,15,10,14,,8,,8,14,,8,9,,7,10,8,,9,,,,,,,,,7,,,,,7,,,,,,
2015-05-17,200,,15,10,10,,8,,9,14,,8,9,,7,10,8,,9,,,,,,,,,7,,,,,7,,,,,,
2015-05-18,195,,15,7,12,7,8,6,9,13,,9,8,,6,10,7,,10,,,,,,,,,,,,,,,,,,,,
2015-05-19,196,,14,7,10,,8,6,9,13,,8,7,,6,10,7,,10,,,,,8,,,,,,,,,,,,,,,
2015-05-20,200,8,15,10,10,,9,6,8,9,,8,7,,6,10,,,10,,,,,7,,,,,,,,,,,,,,,
2015-05-21,191,7,17,12,14,,,6,7,8,,8,,,6,9,7,,10,,,,,8,,,,7,,,,,,,,,,,
2015-05-22,193,8,17,11,14,,,,7,9,,6,,,6,9,6,,10,,,,,7,,,,7,,,,6,,,,,,,
2015-05-23,198,9,18,11,14,,,,9,13,,6,,,6,9,6,,11,,,,,9,,,,8,,,,6,,,,,,,
2015-05-24,194,9,18,11,14,,,,7,13,,6,,,6,9,6,,13,,,,,9,,,,7,,,,6,,,,,,,
2015-05-25,193,9,18,12,15,,,,7,13,,6,,,6,9,6,,13,,,,,8,,,,8,,,,6,,,,,,,
2015-05-26,196,9,18,9,14,,,,6,11,,8,,,6,9,6,,13,,,,,8,,,,8,,,,6,,,,,,,
2015-05-27,196,9,18,9,14,,,,6,11,,8,6,,6,9,,,13,,,,,7,,,,8,,,,6,,,,,,,
2015-05-27,198,9,18,9,14,,6,,6,11,,8,,,6,9,,,13,,,,,6,,,,8,,,,6,,,,,,,
2015-05-28,209,11,16,9,15,,,,8,13,,,9,,8,10,,,14,,,,,,8,11,,9,11,,,,,,,,,,
2015-05-29,201,12,15,,16,,,,10,13,,,9,,9,10,,9,14,,,,,9,,11,,9,11,,,,,,,,,,
2015-05-30,208,12,15,,16,,,12,,13,,,13,,10,11,,13,13,,,,,,12,16,,10,14,,,,,,,,,,
2015-05-31,205,13,16,8,14,8,,,8,10,5,,11,6,5,,,,9,,,,,7,,,,,,,,,,,,,,,
2015-06-01,201,12,15,,16,,,11,9,13,,,13,,9,,,13,13,,,,,,12,16,,10,12,,,,,,,,,,
2015-06-02,205,13,16,9,14,9,,,8,12,6,,,6,6,10,,,,,,,,6,,,,,,,,,,,,,,,
2015-06-03,213,11,15,,18,,,12,10,16,,,12,,10,11,,13,13,,,,,,13,16,,,16,,,,,,,,,,
2015-06-04,217,12,18,,20,11,,13,,17,,,12,,11,11,,13,14,,,,,,14,17,,,17,,,,,,,,,,
2015-06-05,222,11,18,,20,11,,14,,16,,,12,,11,,,13,13,,,,,,14,17,,11,16,,,,,,,,,,
2015-06-06,224,,16,,21,11,,14,10,16,,,12,,10,,,13,13,,,,,,14,18,,11,16,,,,,,,,,,
2015-06-07,213,12,15,7,19,12,,,9,11,5,,,,5,10,,,,,,11,,,,,6,,13,,,,,,,,,,
2015-06-08,217,14,16,6,21,13,,17,7,9,6,,,,6,8,,,,,,11,,7,,,,,13,,,,,,,,,,
2015-06-09,226,10,16,,19,13,,21,,11,,,12,,10,,,14,12,,,,,10,14,17,,,17,,,,,,,,,,
2015-06-10,229,10,15,,18,12,,23,,,,,13,,9,,,15,11,,,,,9,14,16,,,17,,10,,,,,,,,
2015-06-11,227,9,14,,16,15,,29,6,6,5,5,,,5,8,,,,,,,,10,,,,,,,,,,,,,,,
2015-06-12,237,,14,,18,17,,34,,10,,,13,,10,,,15,12,,,,,10,14,16,,,17,,10,,,,,,,,
2015-06-13,230,9,14,,18,16,,29,,10,,,13,,9,,,13,11,,,,,,15,16,,,18,,10,,,,,,,,
2015-06-14,225,9,17,5,18,16,,27,7,7,5,5,,,5,,,,,,,,,10,,,,,,,,,,,,,,,
2015-06-15,220,9,17,,16,13,,28,,9,,,11,,9,,,12,11,,,,,,13,12,,,13,,10,,,,,,,,
2015-06-16,226,10,18,,15,13,,29,,10,,,11,,10,10,,13,11,,,,,,13,12,,,13,,,,,,,,,,
2015-06-17,231,12,18,5,16,14,,28,8,7,,8,,,5,9,,,,,,,,11,,,,,,,,,,,,,,,
2015-06-18,226,,19,,13,12,,26,,9,,,10,,8,,,13,8,,,,,9,13,12,9,,12,,,,,,,,,,
2015-06-19,223,,19,,14,10,,26,,9,,9,11,,9,,,13,10,,,,,9,13,12,,,11,,,,,,,,,,
2015-06-20,227,8,19,,15,11,,29,,8,,9,8,,8,,,,,,,,,9,,,,,,,,,,,,,,,
2015-06-21,222,,18,,11,10,,27,,9,,9,12,,8,9,,12,,,,,,8,13,10,8,,,,,,,,,,,,
2015-06-22,226,10,18,6,13,11,,29,,8,,8,9,,6,,,,,,,,,9,,,,,,,,,,,,,,,
2015-06-23,222,10,19,,11,10,,24,,10,,8,12,,8,9,,12,,,,,,,13,10,9,,,,,,,,,,,,
2015-06-24,219,12,18,8,12,,,26,,8,,7,10,,5,,,,,,,,,9,,,,,,5,,,,,,,,,
2015-06-25,218,13,16,,11,10,,25,,10,,,13,,8,8,,13,,,,,,,13,11,9,,8,,,,,,,,,,
2015-06-26,219,12,16,,10,10,,31,,11,,,13,,8,8,,14,,,,,,,14,11,9,,8,,,,,,,,,,
2015-06-27,246,12,15,,11,11,,28,8,9,,,12,,8,9,,16,,,,,,,13,11,,9,,,,,,,,,,,
2015-06-28,254,11,17,7,11,11,,34,,10,6,,13,,6,,,16,,,,,,7,,,,,,,,,,,,,,,
2015-06-29,238,15,17,,11,11,,29,9,,,,11,,9,9,,14,,,,,,,13,11,9,9,,,,,,,,,,,
2015-06-30,242,14,20,9,16,11,,29,,,5,,,,5,,9,14,9,,,,,6,,,,,,,,,,,,,,,
2015-07-01,258,15,18,,14,12,,31,,,,,13,,10,10,10,13,11,,,,,,13,11,10,,,,,,,,,,,,
2015-07-02,257,15,18,10,15,12,,32,9,9,,,,,7,9,,,11,,,,,7,,,,,,,,,,,,,,,
2015-07-03,252,13,22,,18,14,7,29,9,,8,,,6,6,9,,,11,,,,,7,,,,,,,,,,,,,,,
2015-07-04,246,12,21,,19,14,7,,9,7,8,,,7,6,9,,,9,,,,,6,,,,,,,,,,,,,,,
2015-07-05,246,12,21,,18,14,8,,9,7,8,,,7,6,9,,,9,,,,,6,,,,,,,,,,,,,,,
2015-07-07,258,13,23,,17,14,8,,9,7,7,,,5,5,11,,,8,,,,,8,,,,,,,,,,,,,,,
2015-07-08,270,16,26,,19,13,8,25,11,8,,,,,5,10,,,10,,,8,5,,,,,,,,,,,,,,,,
2015-07-09,259,14,25,,19,13,7,,10,7,,,,5,5,9,,,9,,,8,5,,,,,,,,,,,,,,,,
2015-07-10,263,17,25,,18,12,8,,10,9,,5,,5,5,9,,,9,,,8,,,,,,,,,,,,,,,,,
2015-07-11,263,17,26,,19,12,8,,11,9,,6,,,5,9,,,9,,5,,,,,,,,,,,,,,,,,,
2015-07-12,265,17,25,,19,12,8,,11,9,,6,,,5,9,,,9,,5,,,,,,,,,,,,,,,,,,
2015-07-13,266,17,23,,21,13,9,,11,9,,,,,5,,16,14,9,,5,,,,,,,,,,,,,,,,,,
