date,Madrid,Barcelona
2015-05-28,12,5
2015-05-29,14,5
2015-05-30,12,5
2015-05-31,13,6
2015-06-01,13,5
2015-06-02,13,5
2015-06-03,13,5
2015-06-04,16,7
2015-06-05,15,6
2015-06-06,15,6
2015-06-07,15,6
2015-06-08,15,6
2015-06-09,15,8
2015-06-10,12,8
2015-06-11,11,8
2015-06-12,11,7
2015-06-13,11,7
2015-06-14,11,7
2015-06-15,10,7
2015-06-16,10,8
2015-06-17,10,7
2015-06-18,12,6
2015-06-19,10,
2015-06-20,10,5
2015-06-21,12,
2015-06-22,12,5
2015-06-23,11,5
2015-06-24,11,
2015-06-25,10,
2015-06-26,9,
2015-06-27,9,
2015-06-28,7,
2015-06-29,8,
2015-06-30,8,
2015-07-02,7,
2015-07-03,8,
2015-07-04,8,
2015-07-05,9,
2015-07-06,10,
2015-07-08,9,5
2015-07-09,9,5
2015-07-10,9,5
2015-07-11,9,5
2015-07-12,9,5
2015-07-13,9,5
2015-07-14,9,5
2015-07-15,8,5
2015-07-16,9,5
2015-07-17,9,5
2015-07-18,9,5
