date,"Invictamax Lda","PRIMEIT CONSULTING SA","PeopleConquest RH","REDITUS SA"
2015-06-02,10,,,
2015-06-03,11,,,
2015-06-04,12,,,
2015-06-05,12,,6,
2015-06-06,12,,6,
2015-06-07,12,,6,
2015-06-08,12,,6,
2015-06-09,12,,6,
2015-06-10,12,,6,
2015-06-11,12,,6,
2015-06-12,12,,6,
2015-06-13,12,,6,
2015-06-14,12,,6,
2015-06-15,13,,6,
2015-06-16,13,,6,
2015-06-17,13,5,6,5
2015-06-18,13,6,6,5
2015-06-19,13,6,6,5
2015-06-20,12,5,6,5
2015-06-21,12,6,6,5
2015-06-22,12,6,6,5
2015-06-23,12,5,6,5
2015-06-24,12,6,6,5
2015-06-25,12,6,6,5
