date,Sysmatch,"Match Profiler",Futurcabo,"MEDICIS CONSULT"
2015-06-02,14,,,11
2015-06-03,22,,,11
2015-06-04,25,,,11
2015-06-05,93,27,,11
2015-06-06,89,25,,11
2015-06-07,91,25,,11
2015-06-08,91,25,,11
2015-06-09,83,25,,11
2015-06-10,87,26,,11
2015-06-11,79,25,,11
2015-06-12,83,25,,11
2015-06-13,80,25,,11
2015-06-14,80,24,,11
2015-06-15,78,24,,11
2015-06-16,71,25,,11
2015-06-17,84,26,,11
2015-06-18,82,25,,11
2015-06-19,81,25,,11
2015-06-20,84,26,,11
2015-06-21,83,24,,11
2015-06-22,83,24,,11
2015-06-23,87,24,,11
2015-06-24,87,26,,11
2015-06-25,88,26,,11
2015-06-26,86,24,,11
2015-06-27,81,24,14,11
