date,Madrid
2015-05-28,7
2015-05-29,8
2015-05-30,8
2015-05-31,8
2015-06-01,8
2015-06-02,8
2015-06-03,8
2015-06-04,10
2015-06-05,10
2015-06-06,11
2015-06-07,11
2015-06-08,11
2015-06-09,10
2015-06-10,12
2015-06-11,12
2015-06-12,12
2015-06-13,10
2015-06-14,10
2015-06-15,10
2015-06-16,10
2015-06-17,9
2015-06-18,10
2015-06-19,10
2015-06-20,10
2015-06-21,10
2015-06-22,11
2015-06-23,13
2015-06-24,12
2015-06-25,9
2015-06-26,10
2015-06-27,10
2015-06-28,9
2015-06-29,9
2015-06-30,8
2015-07-01,8
2015-07-02,8
2015-07-03,8
