date,"Algebra lineare",Calcolo,Matematica,Statistica,Probabilità,Rstudio,"Analisi dei dati"
2015-05-28,0,130,394,684,20,0,71
2015-05-29,2,127,397,681,18,0,69
2015-05-30,2,126,206,647,18,0,70
2015-05-31,2,122,399,665,19,0,55
2015-06-01,2,115,398,660,20,0,66
2015-06-02,2,116,397,666,21,0,66
2015-06-03,2,112,405,664,21,0,68
2015-06-04,2,112,414,661,21,0,70
2015-06-05,0,112,215,660,20,0,52
2015-06-06,2,111,404,656,19,0,49
2015-06-07,2,112,410,650,19,0,50
2015-06-08,2,103,406,628,19,0,64
2015-06-09,2,103,398,630,18,0,62
2015-06-10,2,104,406,630,18,0,61
2015-06-11,2,103,403,240,18,0,62
2015-06-12,0,99,223,247,18,0,54
2015-06-13,0,97,407,246,18,0,55
2015-06-14,0,98,227,244,20,0,55
2015-06-15,0,103,415,248,20,0,62
