date,"Linjär algebra",Analys,Matematiska,Statistik,Sannolikhet,RStudio,"Data analytics",Dataanalys
2015-05-28,0,287,0,59,2,0,10,0
2015-05-29,0,280,0,67,2,0,10,0
2015-05-30,0,279,0,65,2,0,10,0
2015-05-31,0,280,0,65,2,0,10,0
2015-06-01,0,267,0,61,2,0,9,0
2015-06-02,0,279,0,64,2,0,9,0
2015-06-03,0,289,0,67,2,0,9,0
2015-06-04,0,305,0,75,2,0,9,0
2015-06-05,0,308,0,76,2,0,10,0
2015-06-06,0,306,0,76,2,0,10,0
2015-06-07,0,298,0,74,2,0,10,0
2015-06-08,0,294,0,72,2,0,10,0
2015-06-09,0,302,0,72,2,0,10,0
2015-06-10,0,300,0,73,2,0,8,0
2015-06-11,0,299,0,77,2,0,8,0
2015-06-12,0,290,0,82,2,0,7,0
2015-06-13,0,290,0,82,2,0,7,0
2015-06-14,0,289,0,82,2,0,7,0
2015-06-15,0,307,3,85,2,0,6,2
2015-06-16,0,307,3,88,2,0,6,2
2015-06-17,0,311,3,87,0,0,6,2
2015-06-18,0,315,3,84,0,0,6,3
2015-06-19,0,303,3,80,0,0,5,3
2015-06-20,0,297,3,79,0,0,5,3
2015-06-21,0,295,3,79,0,0,5,3
2015-06-22,0,298,3,77,0,0,4,3
2015-06-23,0,297,3,79,0,0,4,3
2015-06-24,0,292,3,78,0,0,4,3
2015-06-25,0,277,3,70,0,0,4,3
2015-06-26,0,311,3,80,0,0,5,3
2015-06-27,0,371,3,97,0,0,5,3
2015-06-28,2,428,3,114,0,0,6,3
2015-06-29,2,432,3,116,0,0,7,3
