date,"Lineær algebra",Calculus,Matematik,Statistik,Sandsynlighed,RStudio,"Data analytics",Dataanalyse
2015-05-28,0,0,8,37,0,0,13,5
2015-05-29,0,0,9,39,0,0,12,5
2015-05-30,0,0,9,38,0,0,12,5
2015-05-31,0,0,9,37,0,0,12,5
2015-06-01,0,0,11,34,0,0,13,5
2015-06-02,0,0,12,36,0,0,13,5
2015-06-03,0,0,12,35,0,0,10,5
2015-06-04,0,0,13,34,0,0,8,5
2015-06-05,0,0,13,34,0,0,8,4
2015-06-06,0,0,14,34,0,0,8,4
2015-06-07,0,0,14,33,0,0,8,4
2015-06-08,0,0,12,33,0,0,9,4
2015-06-09,0,0,12,34,0,0,9,4
2015-06-10,0,0,12,35,0,0,9,4
2015-06-11,0,0,11,41,0,0,11,3
2015-06-12,0,0,14,44,0,0,11,3
2015-06-13,0,0,14,44,0,0,11,3
2015-06-14,0,0,14,44,0,0,11,3
2015-06-15,0,0,13,44,2,0,9,4
2015-06-16,0,0,10,43,2,0,9,3
2015-06-17,0,0,9,42,2,0,10,3
