date,"Lineare Algebra",Infinitesimalrechnung,Mathematik,Statistik,Wahrscheinlichkeit,RStudio,Datenanalyse
2015-05-28,0,0,15,35,0,0,4
2015-05-28,0,0,15,35,0,0,4
2015-05-29,0,0,16,37,0,0,6
2015-05-30,0,0,17,37,0,0,6
2015-05-31,0,0,17,38,0,0,6
2015-06-01,0,0,16,37,0,0,6
2015-06-02,0,0,17,37,0,0,6
2015-06-03,0,0,18,35,0,0,6
2015-06-04,0,0,20,31,0,0,5
2015-06-05,0,0,20,31,0,0,6
2015-06-06,0,0,20,31,0,0,6
2015-06-07,0,0,20,31,0,0,6
2015-06-08,0,0,20,30,0,0,6
2015-06-09,0,0,20,30,0,0,7
2015-06-10,0,0,17,29,0,0,7
2015-06-11,0,0,17,29,0,0,7
2015-06-12,0,0,17,28,0,0,7
2015-06-13,0,0,17,28,0,0,9
2015-06-14,0,0,17,28,0,0,9
2015-06-15,0,0,19,29,0,0,9
2015-06-16,0,0,23,29,0,0,9
