date,"Lineare Algebra",Infinitesimalrechnung,Mathematik,Statistik,Wahrscheinlichkeit,RStudio,Datenanalyse
2015-05-28,0,0,0,97,0,0,0
2015-05-28,0,0,0,96,0,0,0
2015-05-29,0,0,0,106,0,0,0
2015-05-30,0,0,0,104,0,0,0
2015-05-31,0,0,0,97,0,0,0
2015-06-01,0,0,0,101,0,0,0
2015-06-02,0,0,0,101,0,0,0
2015-06-03,0,0,0,109,0,0,0
2015-06-04,0,0,0,110,0,0,0
2015-06-05,0,0,0,108,0,0,0
2015-06-06,0,0,0,108,0,0,0
2015-06-07,0,0,0,107,0,0,0
2015-06-08,0,0,0,107,0,0,0
2015-06-09,0,0,0,107,0,0,0
2015-06-10,0,0,0,104,0,0,0
2015-06-11,0,0,0,108,0,0,0
