date,"Algebra liniara",Calcul,Matematică,Statistică,Probabilitate,RStudio,"Analytics date","Analiza datelor"
2015-05-28,0,0,23,25,0,0,0,0
2015-05-29,0,0,22,25,0,0,0,0
2015-05-30,0,0,21,24,0,0,0,0
2015-05-31,0,0,21,24,0,0,0,0
2015-06-01,0,0,22,24,0,0,0,0
2015-06-02,0,0,24,27,0,0,0,0
2015-06-03,0,0,24,28,0,0,0,0
2015-06-04,0,0,23,28,0,0,0,0
2015-06-05,0,0,23,30,0,0,0,0
2015-06-06,0,0,23,31,0,0,0,0
2015-06-07,0,0,23,30,0,0,0,0
2015-06-08,0,0,22,30,0,0,0,0
2015-06-09,0,0,22,29,0,0,0,0
2015-06-10,0,0,19,28,0,0,0,0
2015-06-11,0,0,20,31,0,0,0,0
2015-06-12,0,0,20,31,0,0,0,0
2015-06-13,0,0,19,30,0,0,0,0
2015-06-14,0,0,19,30,0,0,0,0
