date,"Álgebra Linear",Cálculo,Matemática,Estatística,Probabilidade,Rstudio,"Análise de dados"
2015-05-28,0,3,11,7,0,0,4
2015-05-29,0,3,13,9,0,0,4
2015-05-30,0,2,12,8,0,0,3
2015-05-31,0,2,11,8,0,0,3
2015-06-01,0,2,12,8,0,0,2
2015-06-02,0,6,51,108,5,0,15
2015-06-03,0,8,56,110,5,0,20
2015-06-04,0,8,59,117,5,0,22
2015-06-05,0,23,88,182,7,0,37
2015-06-06,0,22,87,179,7,0,33
2015-06-07,0,21,89,177,7,0,30
2015-06-08,0,21,90,178,7,0,30
2015-06-09,0,18,80,143,7,0,29
2015-06-10,0,17,69,107,6,0,27
2015-06-11,0,19,65,103,6,0,26
2015-06-12,0,20,83,180,7,0,32
2015-06-13,0,19,97,186,7,0,30
2015-06-14,0,20,95,193,7,0,30
2015-06-15,0,20,92,189,7,0,30
2015-06-16,0,18,91,189,7,0,25
2015-06-17,0,21,101,205,7,0,30
2015-06-18,0,20,107,201,7,0,29
2015-06-19,0,20,102,196,7,0,29
2015-06-20,0,19,90,192,7,0,26
