date,"Algebra liniowa","Rachunek różniczkowy",Matematyka,Statystyka,Prawdopodobieństwo,RStudio,"Analizy danych","Analiza danych"
2015-05-28,0,0,4,0,0,0,8,9
2015-05-29,0,0,4,0,0,0,8,8
2015-05-30,0,0,4,0,0,0,8,8
2015-05-31,0,0,4,0,0,0,8,8
2015-06-01,0,0,4,0,0,0,8,9
2015-06-02,0,0,4,0,0,0,8,7
2015-06-03,0,0,4,0,0,0,8,10
2015-06-04,0,0,4,0,0,0,8,6
2015-06-05,0,0,4,0,0,0,7,5
2015-06-06,0,0,4,0,0,0,7,5
2015-06-07,0,0,4,0,0,0,7,5
2015-06-08,0,0,4,0,0,0,6,5
2015-06-09,0,0,4,0,0,0,6,5
2015-06-10,0,0,4,2,0,0,6,5
2015-06-11,0,0,5,2,0,0,7,5
2015-06-12,0,0,5,2,0,0,6,5
2015-06-13,0,0,5,2,0,0,6,5
2015-06-14,0,0,5,2,0,0,6,5
2015-06-15,0,0,4,0,0,0,6,5
2015-06-16,0,0,5,0,0,0,6,5
2015-06-17,0,0,4,0,0,0,6,5
2015-06-18,0,0,6,3,0,0,5,4
2015-06-19,0,0,5,3,0,0,5,4
2015-06-20,0,0,5,3,0,0,5,3
2015-06-21,0,0,5,3,0,0,5,3
2015-06-22,0,0,5,3,0,0,4,2
2015-06-23,0,0,5,3,0,0,4,2
2015-06-24,0,0,5,3,0,0,4,2
2015-06-25,0,0,5,3,0,0,4,2
2015-06-26,0,0,31,14,0,0,25,17
2015-06-27,0,0,121,45,4,0,55,77
2015-06-28,0,0,163,62,4,0,78,112
2015-06-29,0,0,172,63,4,0,92,137
2015-06-30,0,0,170,60,3,0,94,147
2015-07-01,0,0,171,57,4,0,92,139
2015-07-02,0,0,171,59,5,0,96,140
2015-07-03,0,0,184,65,4,0,95,136
2015-07-04,0,0,214,75,4,0,100,148
2015-07-05,0,0,214,71,3,0,99,147
2015-07-07,0,0,218,76,3,0,0,144
2015-07-08,0,0,231,79,3,0,94,148
2015-07-09,0,0,221,82,3,0,91,153
2015-07-10,0,0,233,82,3,0,92,157
2015-07-11,0,0,237,83,2,0,97,162
2015-07-12,0,0,239,86,3,0,98,161
2015-07-13,0,0,204,69,2,0,81,144
2015-07-14,0,0,209,69,2,0,80,145
2015-07-15,0,0,208,67,2,0,80,143
2015-07-16,0,0,211,71,2,0,80,144
2015-07-17,0,0,205,70,2,0,80,148
2015-07-18,0,0,205,69,2,0,83,150
2015-07-19,0,0,205,68,2,0,83,151
2015-07-20,0,0,197,65,2,0,87,155
2015-07-21,0,0,194,65,2,0,80,0
2015-07-22,0,0,194,67,2,0,75,150
2015-07-23,0,0,198,66,2,0,81,150
2015-07-24,0,0,0,0,0,0,0,0
