date,London,Reading,Twickenham,Birmingham
2015-03-11,27,,,
2015-03-12,28,,,
2015-03-16,25,,,
2015-03-18,30,,,
2015-03-18,33,,,
2015-03-19,34,,,
2015-03-20,39,,,
2015-03-21,37,,,
2015-03-22,37,,,
2015-03-23,37,,,
2015-03-24,35,,,
2015-03-25,35,,,
2015-03-26,28,,,
2015-03-27,26,,,
2015-03-28,26,,,
2015-03-29,26,,,
2015-03-30,28,,,
2015-03-31,28,,,
2015-04-01,27,,,
2015-04-02,30,,,
2015-04-03,27,,,
2015-04-04,29,,,
2015-04-05,30,,,
2015-04-06,32,,,
2015-04-07,31,,,
2015-04-08,29,,,
2015-04-09,27,,5,
2015-04-10,27,,,
2015-04-11,27,,,
2015-04-12,27,,,
2015-04-13,27,,,
2015-04-14,28,,,
2015-04-15,27,,,
2015-04-16,28,,5,
2015-04-17,34,,5,
2015-04-18,46,,5,5
2015-04-19,50,,5,5
2015-04-20,50,,5,5
2015-04-21,30,,5,
2015-04-22,30,,,
2015-04-23,29,,,
2015-04-24,31,,,
2015-04-25,31,,,
2015-04-26,29,,,
2015-04-27,31,,,
2015-04-28,29,,,
2015-04-29,28,,,
2015-04-30,28,,,
2015-05-01,27,,,
2015-05-02,28,,,
2015-05-03,26,,,
2015-05-04,28,,,
2015-05-05,28,,,
2015-05-06,30,,,
2015-05-07,32,,,
2015-05-08,33,,,
2015-05-09,31,,,
2015-05-10,31,,,
2015-05-11,32,,,
2015-05-12,39,,,
2015-05-13,40,,5,
2015-05-14,39,,,
2015-05-15,38,,,
2015-05-16,37,,,
2015-05-17,31,,,
2015-05-18,32,,,
2015-05-19,32,,,
2015-05-20,33,,,
2015-05-21,31,,,
2015-05-22,31,,,
2015-05-23,28,,,
2015-05-24,29,,,
2015-05-25,29,,,
2015-05-26,29,,,
2015-05-27,28,,,
2015-05-27,29,,,
2015-05-28,32,,,
2015-05-29,30,,,
2015-05-30,25,,,
2015-05-31,24,,,
2015-06-01,26,,,
2015-06-02,27,,,
2015-06-03,32,5,,
2015-06-04,27,5,,
2015-06-05,26,5,,
2015-06-06,27,5,,
2015-06-07,27,5,,
