date,London,Swansea,Redhill,Brighton
2015-03-11,41,,,
2015-03-12,39,,,
2015-03-16,35,,,
2015-03-18,40,,,
2015-03-18,44,,,
2015-03-19,48,,,
2015-03-20,49,,,
2015-03-21,46,,,
2015-03-22,46,,,
2015-03-23,41,,,
2015-03-24,35,,,
2015-03-25,35,,,
2015-03-26,38,,,
2015-03-27,33,,,
2015-03-28,30,,,
2015-03-29,32,,,
2015-03-30,32,,,
2015-03-31,29,,,
2015-04-01,31,,,
2015-04-02,35,,,
2015-04-03,35,,,
2015-04-04,36,,,
2015-04-05,34,,,
2015-04-06,35,,,
2015-04-07,34,,5,
2015-04-08,36,,,
2015-04-09,33,,6,
2015-04-10,34,,5,
2015-04-11,35,,5,
2015-04-12,35,,5,
2015-04-13,39,,5,
2015-04-14,41,,5,
2015-04-15,43,,,
2015-04-16,41,,5,
2015-04-17,40,,5,
2015-04-18,58,7,6,
2015-04-19,71,9,6,5
2015-04-20,71,9,6,5
2015-04-21,42,,,
2015-04-22,38,,,
2015-04-23,40,,,
2015-04-24,40,,,
2015-04-25,41,,,
2015-04-26,40,,,
2015-04-27,40,,,
2015-04-28,44,,,
2015-04-29,41,,,
2015-04-30,45,,,
2015-05-01,46,,,
2015-05-02,44,,,
2015-05-03,43,,,
2015-05-04,44,,,
2015-05-05,45,,,
2015-05-06,43,,,
2015-05-07,39,,,
2015-05-08,39,,,
2015-05-09,40,,,
2015-05-10,41,,,
2015-05-11,42,,,
2015-05-12,47,,,
2015-05-13,49,,,
2015-05-14,46,,,
2015-05-15,46,,,
2015-05-16,45,,,
2015-05-17,45,,,
2015-05-18,43,,,
2015-05-19,45,,,
