date,Milan,Rome,Pavia,Bolzano
2015-05-28,28,10,,5
2015-05-29,28,10,,5
2015-05-30,26,10,,5
2015-05-31,26,10,,5
2015-06-01,25,10,,5
2015-06-02,26,10,,5
2015-06-03,26,8,,5
2015-06-04,29,8,,5
2015-06-05,29,8,,5
2015-06-06,28,8,,5
2015-06-07,28,8,,5
2015-06-08,28,8,,5
2015-06-09,26,9,,5
2015-06-10,26,9,,5
2015-06-11,27,9,,
2015-06-12,29,8,,
2015-06-13,28,8,,
2015-06-14,28,7,,
2015-06-15,31,6,,
2015-06-16,30,6,,
2015-06-17,27,6,,
2015-06-18,30,6,,
2015-06-19,30,6,,
2015-06-20,28,6,,
2015-06-21,27,6,,
2015-06-22,26,6,,
2015-06-23,30,7,,
2015-06-24,28,6,,
2015-06-25,30,6,,
2015-06-26,29,6,,
2015-06-27,29,6,,
2015-06-28,29,6,,
2015-06-29,29,6,,
2015-06-30,30,5,,
2015-07-01,29,,,
2015-07-02,29,,,
2015-07-03,29,,6,
2015-07-04,27,,6,
2015-07-05,27,,6,
2015-07-07,29,,7,
2015-07-08,30,,,
2015-07-09,31,5,6,
2015-07-10,31,5,7,
2015-07-11,29,6,,
2015-07-12,30,6,,
2015-07-13,31,6,,
2015-07-14,33,6,,
2015-07-15,35,6,,
2015-07-16,34,6,,
2015-07-17,35,5,,
2015-07-18,35,5,,
2015-07-19,35,5,,
