date,"Austria area"
2015-05-28,220
2015-05-28,217
2015-05-29,214
2015-05-30,224
2015-05-31,226
2015-06-01,224
2015-06-02,228
2015-06-03,218
2015-06-04,251
2015-06-05,253
2015-06-06,253
2015-06-07,245
2015-06-08,245
2015-06-09,232
2015-06-10,214
2015-06-11,213
2015-06-12,210
2015-06-13,210
2015-06-14,208
2015-06-15,242
2015-06-16,242
2015-06-17,247
2015-06-18,248
2015-06-19,249
2015-06-20,252
2015-06-21,252
2015-06-22,251
2015-06-23,252
2015-06-24,255
2015-06-25,250
2015-06-26,248
2015-06-27,242
2015-06-28,240
2015-06-29,244
2015-06-30,244
2015-07-01,234
2015-07-02,248
2015-07-03,212
2015-07-04,212
2015-07-05,210
2015-07-07,216
2015-07-08,212
2015-07-09,220
2015-07-10,221
2015-07-11,237
2015-07-12,235
2015-07-13,234
2015-07-14,232
2015-07-15,236
2015-07-16,239
2015-07-17,234
2015-07-18,232
2015-07-19,228
2015-07-20,232
2015-07-21,229
2015-07-22,228
